"","term_stem","impressions","visits"
"1","friedrichshain kreuzberg",132,35
"2","vermess at ba fk berlin de",112,16
"3","verkehr",43,9
"4","mietspiegel",30,3
"5","corona",32,9
"6","api",29,2
"7","covid 19",46,8
"8","atkis",43,2
"9","bezirk",38,12
"10","einwohn",23,7
"11","wohnlag",22,3
"12","park",22,4
"13","list",20,1
"14","bod",31,3
"15","einzugsbereich",18,1
"16","rbs",22,8
"17","mss",15,1
"18","strass",15,3
"19","opnv",14,1
"20","vornam",17,6
"21","lor",19,7
"22","strassenverzeichnis",22,4
"23","polizei",18,4
"24","adress",22,7
"25","vbb",13,5
"26","senatsverwalt jugend or kostensatz fachleistungsstund",12,1
"27","stadtplan",24,7
"28","wass",19,8
"29","einwohnerzahl",11,2
"30","schul",21,6
"31","grenz",17,5
"32","miet",13,5
"33","postleitzahl",10,1
"34","gtfs",11,5
"35","grun und freiflachenbestand",9,1
"36","einkomm",9,3
"37","hohenfestpunkt",9,2
"38","berlin wasserbetrieb",11,2
"39","jugend",13,2
"40","dashboard",11,2
"41","ortsteil",20,7
"42","asylblg",14,2
"43","flurstuck",14,4
"44","umweltatlas",8,1
"45","gas",8,1
"46","zip shp",8,1
"47","flachennutzungsplan",8,1
"48","kirch",8,2
"49","gewass",7,2
"50","stadtplan 1990",7,1
"51","luftqualitat",7,2
"52","geojson",7,1
"53","gebiet",8,2
"54","fahrrad",7,2
"55","arzt",7,1
"56","erwerbstat",7,1
"57","grundwass",9,3
"58","oberflach",7,2
"59","gpx",7,1
"60","shapefil",6,3
"61","dgm",6,2
"62","basis dlm",6,1
"63","bvg",8,2
"64","migrationshintergrund",6,1
"65","luftbild",7,4
"66","strassenverzeichnis lichtenberg",6,1
"67","einkomm bezirk",6,1
"68","plz",6,1
"69","bod wfs",7,2
"70","geobasisdat",6,1
"71","versiegel",6,1
"72","geschossflachenzahl",6,2
"73","grunflach",6,1
"74","plr",6,1
"75","kart",7,2
"76","spielplatz",10,4
"77","neukolln",6,2
"78","kita",6,2
"79","e recruiting",12,3
"80","haltestell",6,4
"81","baum",6,2
"82","larm",5,3
"83","stadtplan gebiet",5,1
"84","prozess",5,1
"85","inspir",5,1
"86","statbezirksgrenz",5,1
"87","schwarzrotgold",5,1
"88","tourismus",5,1
"89","suchbegriff",5,2
"90","wasserqualitat",5,1
"91","stadtteil",10,6
"92","babelsberg strass",5,1
"93","alkis",12,7
"94","planungsraum",5,1
"95","feuerwehr",5,2
"96","lichtenberg",7,3
"97","jugendarbeitslos",5,1
"98","wahl 2013",5,1
"99","radverkehr",5,2
"100","citygml",5,2
"101","feiertag",4,1
"102","stadtmodell",4,2
"103","ozon",4,2
"104","gebaud",6,4
"105","badegewass",4,1
"106","feuerwerk",5,2
"107","niederschonhaus",4,1
"108","senior",4,1
"109","temperatur",4,1
"110","alt",4,2
"111","krankenhaus",4,1
"112","abfall",5,2
"113","grz",4,2
"114","kiez",5,4
"115","einwohnerinn und einwohn in ortsteil",4,1
"116","dtk",4,1
"117","behindertenparkplatz",4,1
"118","stop",4,1
"119","erzieh",4,1
"120","einwohnerinn und einwohn in den lor planungsraum am 31 12 2019",4,1
"121","pichelsdorf",4,1
"122","reuterplatz",4,1
"123","lieferservic chines",4,1
"124","viertel",6,5
"125","klima",4,1
"126","kriminalitat",4,2
"127","insolvenz",5,2
"128","tegel",4,1
"129","sanier",4,1
"130","dicht",4,1
"131","rad",4,3
"132","brunn",4,2
"133","2020",4,1
"134","berlin university allianc",4,1
"135","liniennetz",4,2
"136","kurfurstendamm",4,1
"137","gastronomi",4,1
"138","dop",5,3
"139","emmiss",4,1
"140","bildungsstand bezirk",4,1
"141","geolog kart",4,1
"142","flugkart",4,1
"143","technologiestift",4,1
"144","coworking",4,2
"145","einwohnerinn und einwohn in den ortsteil berlin am 31 12 2016",4,1
"146","wms dop",4,1
"147","parkflach",4,1
"148","netz",3,1
"149","bergbau",3,2
"150","building",3,2
"151","wahl",4,2
"152","wald",3,1
"153","unfall",6,2
"154","einkomm bezirksregion",3,1
"155","pandemieplan",3,1
"156","topographi",3,1
"157","saub berlin",3,1
"158","arbeitslosengeld bezieh 2019 statist",3,1
"159","2580",3,1
"160","dach",4,3
"161","liegenschafskatast",3,1
"162","2019",2,1
"163","mitt",3,2
"164","stadtplan 19888",3,1
"165","naturschutz",3,1
"166","address",3,2
"167","flurkart auszug",3,1
"168","liegenschaftskart",4,2
"169","covid",3,3
"170","tjfbg ggmbh",3,1
"171","mau",3,1
"172","feu",3,2
"173","bibliothek",3,1
"174","bezirksgrenz",5,3
"175","blohmstrass",3,1
"176","hohenlini",3,1
"177","rundfunk",3,1
"178","stadtplan 19888 bernau or strass or kopenhag or strass",3,1
"179","berlin blohmstrass",5,2
"180","grundwasserstand",3,1
"181","landwirtschaft",3,1
"182","bezirk shap",3,2
"183","berlinonlin",3,1
"184","wahlkreis",3,1
"185","liegenschafskaltast",3,1
"186","ordnungsamt",3,1
"187","langengrad",3,1
"188","veranstalt",3,1
"189","kunstlich intelligenz",3,1
"190","grundsicher",3,1
"191","friedhof",3,1
"192","spielpatz",3,1
"193","3d",4,2
"194","bezirk kart",3,1
"195","radzahl",3,2
"196","k5 berlin",3,1
"197","babelsberg strass schoneberg",3,1
"198","hauskoordinat",3,1
"199","einschulbereich",9,4
"200","quadratmeterpreis",3,1
"201","alt bezirk",3,1
"202","radweg",3,1
"203","sozialstrukturatlas",3,1
"204","bohrd",3,1
"205","ingenieurgeolog kart",3,1
"206","versieglunggrad",3,1
"207","objektklass verkehrszeich stvo nr 314 315",3,1
"208","wohngebiet mischgebiet",3,1
"209","bohrdat",3,1
