"","term_stem","impressions","visits"
"1","friedrichshain kreuzberg",43,15
"2","alkis",46,13
"3","vermess at ba fk berlin de",26,14
"4","luftbild",26,7
"5","einschulbereich",20,7
"6","corona",18,12
"7","planungsraum",17,1
"8","kart",22,3
"9","fahrrad",17,5
"10","einkomm",27,10
"11","strass",28,7
"12","verkehr",18,5
"13","gtfs",15,8
"14","bvg",16,3
"15","bezirk",17,9
"16","lor",19,9
"17","wfs",11,1
"18","prognos",11,1
"19","radweg",12,9
"20","pankow",10,3
"21","adress",10,3
"22","einwohn",17,3
"23","2019",1,1
"24","energieverbrauch",8,2
"25","radrout",8,7
"26","flurstuck",9,2
"27","dtk25",8,1
"28","schul",10,6
"29","rast",7,1
"30","ubersichtskart",7,1
"31","kita",8,6
"32","wass",6,4
"33","ortsteil",9,5
"34","energi",7,3
"35","block",11,4
"36","sport",6,1
"37","3d dat",10,4
"38","vornam",12,4
"39","covid",6,3
"40","klimatolog kenndat",6,1
"41","baum",12,8
"42","wfs dat",5,1
"43","s bahn",12,3
"44","solar",5,3
"45","fisbrok",5,1
"46","kreuzberg",5,2
"47","solaranlag",6,2
"48","hauskoordinat",5,2
"49","bautrag bezirk",5,1
"50","luft",5,5
"51","standort",5,2
"52","vorkaufsrecht",5,1
"53","parkraum",6,4
"54","alt geschlecht",5,1
"55","2020",1,1
"56","bodenrichtwert",5,2
"57","dtk",7,2
"58","stellenbewert",5,1
"59","tischtennisplatt",5,1
"60","bevolker",7,3
"61","gebaud",8,5
"62","tegel",6,3
"63","berlin 1850",4,1
"64","friedrichshain kreuzberg einkauf",4,1
"65","nam",4,1
"66","fernwarm",4,1
"67","lichtenberg",4,1
"68","3d",8,6
"69","wald",4,2
"70","liegenschaftskatast",4,2
"71","gesund",4,1
"72","park",7,6
"73","senatsbeschluss",7,5
"74","teltowkanal",4,1
"75","plz",6,4
"76","tempelhof",4,4
"77","postleitzahl",5,3
"78","konigsweg teltowkanal",4,1
"79","wohnlag",4,1
"80","einwohn ortsteil berlin",4,1
"81","bezirksgrenz",4,2
"82","kriminalitat",4,3
"83","wahlkart berlin",4,1
"84","flurstucksgrenz",5,2
"85","ausland",4,1
"86","censimento",4,1
"87","21 07 2020",6,2
"88","cauerstrass",4,1
"89","citygml",4,2
"90","war",3,3
"91","population",5,4
"92","restaurant",4,3
"93","demographi",3,1
"94","spandau",4,3
"95","prenzlau berg",3,2
"96","rennefeld",3,1
"97","gleisanlag",3,1
"98","wochenticket vbb",3,1
"99","berlin",4,2
"100","staatlich bautraeg",3,1
"101","katastrophenschutz",3,1
"102","neukolln",3,2
"103","altersstruktur",4,2
"104","verein",3,1
"105","apothek",4,2
"106","pfleg",3,1
"107","spielplatz",3,2
"108","polizei",4,2
"109","steurung transferleist",3,1
"110","vbb",3,3
"111","dgm",5,3
"112","uferkonzept kopenick",3,1
"113","rbs",3,2
"114","kleingart",3,1
"115","miet",4,2
"116","fest",4,2
"117","silv",3,1
"118","bik",3,1
"119","katast",4,4
"120","barrierefrei",3,1
"121","restaurantbesuch",5,2
"122","unterhaltungsausgab",3,2
"123","fahrverbot",3,1
"124","oberflachenmodell",3,1
"125","gelandemodell",3,2
"126","strassenverzeichnis",3,1
"127","ecosia",3,1
"128","pump",4,4
"129","barri",3,1
"130","polizei abschnitt",3,1
"131","zuwendungsdatenbank",3,1
"132","rollstuhl",3,1
"133","histor luftbild",3,1
"134","demographic",3,2
"135","schnellerstrass",3,1
"136","einwohn migration",3,1
"137","einwohn 2019",5,2
"138","statist",3,1
"139","detailnetz berlin",3,1
"140","statist bezirk",3,1
"141","karri",3,1
"142","alt geschlecht zensus or bezirk",3,1
"143","address",3,1
"144","glascontain",3,1
"145","tarifbereich",3,1
"146","datav",3,1
"147","bevolker bezirk",3,1
"148","alkis berlin",3,1
"149","kitalist",3,1
"150","bevolkerungsdicht",3,1
"151","einwohnerinn und einwohn nach wohnlag",3,1
"152","sib",3,1
"153","allgemein bildung",3,1
"154","breitbandversorg drahtlos technologi",3,1
"155","weltoffen berlin",3,1
"156","strassenrein berlin",3,1
"157","tourist",3,1
"158","postleitzahl bezirk",3,1
"159","geography mitt",2,2
"160","flurkart",3,3
"161","stadtteilgrenz",2,1
"162","waldsass strass",2,1
"163","ehrenamt",3,2
"164","baupreisindex",2,1
"165","beflieg",2,1
"166","strassenverzeichnis mit hausnumm",2,2
"167","senatsvorlag",4,3
"168","wohnung",3,3
"169","trinkbrunn",2,2
"170","stadtviertel",2,1
"171","stadtplan immobili analis",2,1
"172","wett",2,1
"173","friedrichshain kreuzberg bevolker",2,1
"174","senior",2,1
"175","berlinpass",2,1
"176","geistigegesund",2,1
"177","plan",2,1
"178","badestell",3,3
"179","grundschul",3,3
"180","prami",2,1
"181","diesel fahrverbot",2,1
"182","kost",2,1
"183","model",2,1
"184","gtfs api",2,1
"185","strassenrein kost",2,1
"186","haushalt",3,2
"187","lebenserwart in kladow",2,1
"188","haltestell",3,2
"189","covid 19",2,1
"190","opendatav",2,2
"191","einwohnerzahl",3,2
"192","konigsweg",2,1
"193","baualt",2,1
"194","strassenreinigungsgebuhr",2,1
"195","familienzentr kind und jugendfreizeiteinricht",2,1
"196","energienetz",3,2
"197","lor kart",2,1
"198","stadtplan immobilienstatist",2,1
"199","versamml",3,2
"200","grunflach",3,3
"201","bautrag berlin",2,1
"202","reststoff",2,1
"203","koloniestrass",2,1
"204","strassennetz",2,1
"205","kopernikusstrass kopernikusstrass or zerstor",2,1
"206","bautrag land berlin",2,1
"207","wms",2,1
"208","hilf zur erzieh",3,2
"209","geojson",2,1
"210","zoning kort",2,1
"211","wohnungsneubau",2,1
"212","erhaltungsgebiet",2,1
"213","parkraumbewirtschaft",2,2
"214","digital detox",2,1
"215","lor 2019",2,1
"216","traffic count",2,1
"217","baustell",2,1
"218","shapefil",2,2
"219","haushaltseinkomm",2,2
"220","aktiv zentr",2,1
"221","grenzmarkier",2,1
"222","hochstausstatt",2,1
"223","lor bezirksnumm",2,1
"224","modell",2,2
"225","knjprodestrass",2,1
"226","stadtteil",3,3
"227","war debris",2,1
"228","gastronomi",2,1
"229","bier",2,1
"230","portallogin jsp",2,1
"231","lor bezirk",2,1
"232","biomass",2,1
"233","neubau",3,2
"234","strassenabschnitt",3,2
"235","tischtennisplattr",2,1
"236","restaurant mit sonnenterass",2,1
"237","auto",2,1
"238","soforthilf",2,1
"239","lankwitz",2,1
"240","vereoin",2,1
"241","friedrichshain kreuzberg haushaltseinkomm",2,1
"242","zuordnung der bezirk zu den postleitzahl",3,2
"243","stadtmodell",2,1
"244","bezirksgrenz berlin",2,1
"245","jutebog strass",2,1
"246","bagni",2,1
"247","tischtennis",2,1
"248","gehwegbreit",2,1
"249","einwohn berlin gesamt",2,1
"250","bevolkerungsentwickl",2,1
"251","klimatolog",2,1
"252","tourismus deutschland",2,1
"253","stuerung transferleist",2,1
"254","schnell strass",2,1
"255","climat",2,1
"256","tvo",2,1
"257","viertel",2,2
"258","uferkonzept",2,1
"259","building",2,1
"260","sportforum",2,1
"261","lankwitz wirschaftsdat",2,1
"262","alexand marcus",2,1
"263","baukostenindex",2,1
"264","kraftfahrzeug",2,1
"265","wms baum",2,1
"266","neubau potenzial",2,1
"267","aktuell luftqualitatsindex",2,1
"268","aor",2,1
"269","ewr201512 matrix",2,1
"270","tltowkanal",2,1
"271","altglas",2,1
"272","wat",2,1
"273","geograph granularitat",2,1
"274","geographical granularity",2,1
"275","lopr",2,1
"276","3ddaten",2,2
"277","geodat",1,1
"278","haushalt mit kind",1,1
"279","bral",2,2
"280","weg",1,1
"281","berlin gtfs dat chang",1,1
"282","nam and",1,1
"283","gesetz",1,1
"284","privat equity",1,1
"285","zugriff",1,1
"286","verkehrsbelast",1,1
"287","lidar",1,1
"288","schulabschluss 2019",1,1
"289","altersstruktur reinickendorf",1,1
"290","blitz",1,1
"291","bausanier",1,1
"292","steglitz",1,1
"293","demenzerkrank",1,1
"294","3dd",1,1
"295","sud korea",1,1
"296","apothek standort",1,1
"297","capital area",1,1
"298","waff",1,1
"299","parkplatz",1,1
"300","konig wusterhaus",1,1
"301","beschluss",2,2
"302","einkomm alt",2,2
"303","deutschalnd",1,1
"304","employ branding",1,1
"305","offlin tourismus",1,1
"306","autoverkauf",1,1
"307","wohndau",1,1
"308","verspat",1,1
"309","hartz 4",1,1
"310","haltestellenzugang",1,1
"311","pv",1,1
"312","tourismus mallorca",1,1
"313","umweltzon berlin",1,1
"314","map",1,1
"315","parkraummanagement",1,1
"316","naturdenkmal",1,1
"317","alkohol",1,1
