"","term_stem","impressions","visits"
"1","friedrichshain kreuzberg",109,34
"2","vermess at ba fk berlin de",63,12
"3","mitt",53,3
"4","lichtenberg",41,3
"5","lor",46,8
"6","neukolln",30,2
"7","marzahn hellersdorf",28,1
"8","steglitz zehlendorf",26,2
"9","charlottenburg wilmersdorf",21,2
"10","bezirk mitt",21,1
"11","bezirk",22,8
"12","shp",36,11
"13","list der haufig vornam",20,2
"14","treptow kopenick",22,3
"15","alkis",27,5
"16","unfall",18,1
"17","corona",26,14
"18","wms",18,7
"19","tempelhof schoneberg",17,1
"20","strass",23,4
"21","schul",21,8
"22","bevolker",15,4
"23","bevolker berlin",15,1
"24","bodenrichtwert",14,1
"25","spandau",18,3
"26","ortsteil",21,5
"27","einwohn",13,4
"28","mahlsdorf",13,4
"29","umwelt",13,1
"30","wass",14,5
"31","emission",16,4
"32","arbeitslos",17,7
"33","amt fur statist",22,3
"34","markt",15,4
"35","einkomm",14,5
"36","migrationshintergrund",10,5
"37","bezirksgrenz",14,4
"38","shap",10,4
"39","kml",9,3
"40","shapefil",9,4
"41","bau",9,2
"42","block",12,3
"43","bezirk geodat",9,1
"44","bundestagswahl",9,4
"45","csv",8,3
"46","solaranlag",8,1
"47","alkis berlin gebaud",8,1
"48","corona verteil",7,2
"49","fahrrad",8,4
"50","bus",9,4
"51","reinickendorf",12,4
"52","k 5",7,1
"53","kart",7,1
"54","wahl",7,2
"55","verkehr",6,4
"56","internet",6,2
"57","energieverbrauch",6,3
"58","dgm",6,4
"59","train",6,1
"60","landschaftsprogramm",6,1
"61","pankow",6,2
"62","zip shp",8,2
"63","grundschuleinzugsbereich",6,1
"64","bildung",11,4
"65","kurt schumach platz",7,2
"66","k5 berlin",6,1
"67","hohenfestpunkt",7,2
"68","bodenrichtwert zum 01 01 2020",6,1
"69","armut",6,1
"70","gewass",5,3
"71","bvg",9,4
"72","co2",5,1
"73","gebaud",6,3
"74","stromnetz",8,3
"75","senatsvorlag",5,3
"76","verkehrszeich",5,1
"77","rbs",5,2
"78","bevolkerungsentwickl",5,2
"79","einschulungsbereich",9,5
"80","religion",5,2
"81","ampeln",5,2
"82","energi",5,2
"83","jugendarbeitslos",5,1
"84","bevolker berlin 2019",5,1
"85","wochenmarkt",5,3
"86","hellersdorf",5,2
"87","vbb",7,3
"88","miet",5,2
"89","gtfs",8,5
"90","stadtplan",5,1
"91","xml",4,1
"92","polizei",7,2
"93","altglas",4,2
"94","radverkehr",4,1
"95","smart city",4,3
"96","vegetation",4,1
"97","alt",5,3
"98","strassenbefahr",5,2
"99","buslini",4,1
"100","einwohnerregist",4,1
"101","esb",4,2
"102","leitbild diversity",4,1
"103","bahn",4,1
"104","stadtgrenz",4,2
"105","statist bezirk",4,1
"106","grundwass",4,1
"107","einwohnerstatist",4,1
"108","radweg",4,1
"109","biku",4,1
"110","covid 19 fall im land berlin verteil nach altersgrupp",4,1
"111","norderney",3,2
"112","energieverbrauchsubersicht",3,2
"113","larm",3,1
"114","grundstuck",3,1
"115","grenz",3,1
"116","park",6,3
"117","hydrant",5,2
"118","massnahm zur verbesser des mieterschutz und zur vermeid von wohnungsverlust",3,1
"119","gruendach",3,2
"120","projektion",3,1
"121","bedarfsgemeinschaft",3,1
"122","u bahn",3,1
"123","jugend",3,2
"124","fluchtling",3,2
"125","ladesaul",3,1
"126","lebensraumtyp",3,1
"127","api",3,1
"128","luftbild",4,2
"129","okokonto",3,1
"130","vornam",4,4
"131","denkmal",3,1
"132","kleingart",4,2
"133","xml sprach",3,1
"134","gesamt bevolker",3,1
"135","gesund",4,3
"136","arbeitslos lor",3,1
"137","flach berlin stadt",3,1
"138","geojson",3,2
"139","hauptstadtzulag",5,2
"140","covid stadtbezirk",3,1
"141","sozialstruktur",3,1
"142","grundflachenzahl",3,1
"143","etr",3,1
"144","covid 19",4,2
"145","strassenverzeichnis",5,2
"146","einwohn alt",3,1
"147","grunflach",5,3
"148","fahrrad unfall",3,1
"149","ballungsraumzulag",3,1
"150","2019",1,1
"151","flur",3,1
"152","schiffsverkehr",3,1
"153","religios",3,1
"154","papiercontain",3,1
"155","nach bezirksregion",3,1
"156","naturkatastroph",3,1
"157","berlin region",3,1
"158","larmbelast",3,1
"159","pflanzenart",3,1
"160","environment",3,1
"161","baunvo",3,1
