"","term_stem","impressions","visits"
"1","amt fur statist",80,4
"2","lor",44,36
"3","vermess at ba fk berlin de",26,6
"4","strom",25,4
"5","gebaud",19,7
"6","verkehr",15,7
"7","toilett",14,8
"8","shp",11,2
"9","bodenrichtwert",10,2
"10","ausland",10,1
"11","xml",9,1
"12","breitband",9,1
"13","luftbild",12,4
"14","afs",11,4
"15","gtfs",13,12
"16","umwelt zon",8,3
"17","gutachterausschuss",8,1
"18","wms",8,2
"19","rbs",12,7
"20","standort",8,1
"21","umwelt",7,4
"22","fahrrad",13,11
"23","alt",8,3
"24","parkraum",8,5
"25","vbb",7,7
"26","einwohnerzahl",9,3
"27","lichterfeld or histor kart",6,1
"28","nam",6,4
"29","shapefil",10,5
"30","bod",5,3
"31","strass",11,5
"32","baum",12,6
"33","gml",5,1
"34","flurkart",5,2
"35","bezirk",15,8
"36","dgm",5,4
"37","wohnlag",5,3
"38","ortsteil",8,5
"39","alkis",9,5
"40","senatsbeschluss",5,5
"41","kfz",4,1
"42","einkomm",7,5
"43","pfleg",5,2
"44","einwohn",6,5
"45","schul",9,6
"46","glascontain in wedding",4,1
"47","kriminalitat",6,5
"48","kriminal",4,3
"49","plz",4,1
"50","postleitzahl",7,4
"51","vornam",6,5
"52","heizung",4,1
"53","feuerwehr",5,2
"54","shapefil station",4,1
"55","ladesaul",4,3
"56","echtzeit",4,3
"57","grunanlag",3,2
"58","bod wms",3,3
"59","mindestlohn",4,2
"60","personensuch christa friedrich",3,1
"61","stolperstein",3,1
"62","miet",10,8
"63","2016",3,1
"64","stuttgart platz",3,1
"65","berlin de",3,1
"66","radverkehr",3,3
"67","verbrech",3,2
"68","bevolker",4,2
"69","kita",3,2
"70","energi",3,1
"71","breakdanc",3,1
"72","lebenswelt raum",3,1
"73","mietspiegel",3,2
"74","opengeodata",3,1
"75","dop",3,1
"76","migration",4,2
"77","kreuzberg",3,2
"78","haushalt",6,4
"79","hausnumm",3,1
"80","dop 2019",3,1
"81","strassenbefahr",3,1
"82","mietendeckel",3,1
"83","geonutzv",3,1
"84","weihnacht",4,3
"85","umwelt zon verkehr",3,1
"86","tiergartenstrass 9 berlin",3,1
"87","breitbband",3,1
"88","ruhig gebiet",3,1
"89","funkturm",3,1
"90","jugendbauhutt",2,2
"91","topographi",2,1
"92","bebauungsplan",2,1
"93","personal",2,1
"94","denkmal",2,1
"95","pv anlag",2,1
"96","siem innovation campus",2,1
"97","lod1",4,3
"98","gebaud gis",2,1
"99","bvg",2,2
"100","ausschreibungsverfahr",2,1
"101","beschlussfass senat feststell der aussergewohn stadtpolit bedeut fur gebiet siem innovation campus",2,1
"102","opnv",2,1
"103","histor",2,1
"104","eingliederungshilf",2,1
"105","polizei",2,2
"106","krebstot berlin",2,1
"107","abruf flurkart",2,1
"108","stimmbezirk",2,1
"109","emission",2,1
"110","orthofotos",2,2
"111","einwohnerinn und einwohn in den ortsteil berlin",2,1
"112","tegel",2,2
"113","natur",2,1
"114","markt",3,2
"115","block",3,2
"116","unfall",3,2
"117","park",7,6
"118","adipositas",2,1
"119","glascontain",2,2
"120","hohendat",2,2
"121","lebenswelt raum einwohn",2,1
"122","emobility",2,2
"123","sterblich berlin",2,1
"124","bilanz",2,1
"125","geojson",2,1
"126","berlin mitt nam",2,1
"127","schulstandort",2,1
"128","kml",2,1
"129","schonhorsterstrass",2,1
"130","bezirksgrenz",3,3
"131","lichterfeld histor kart",3,2
"132","weihnachstmarkt",2,2
"133","rad",2,2
"134","rbs od blk",2,1
"135","zuschuss fur beamt",2,1
"136","wms adress",2,1
"137","mio",2,1
"138","wohnung",2,1
"139","sprach in berlin",2,1
"140","fahrradstand",3,3
"141","europawahl",2,2
"142","straftat",2,1
"143","haltestell vbb",3,2
"144","vertrag",2,2
"145","umwelt overkehr",2,1
"146","gtfs dat",2,1
"147","wfs adress",2,1
"148","baumbestand",2,1
"149","h m",2,1
"150","klimapolit",2,1
"151","frobel",2,1
"152","radweg",4,3
"153","zuwend",3,2
"154","lohn",3,2
"155","krankenkassenzuschuss fur beamt",2,1
"156","vergabemindestlohn",2,1
"157","ausschreib",4,3
"158","schulstandort ikt",2,2
"159","taxi",2,1
"160","sachgrundlos befrist",3,2
"161","parkplatz",2,1
"162","arbeitslos",4,3
"163","gebaudewarm",2,1
"164","atkis strass",2,1
"165","kriegsluftbild",3,2
"166","hauskoordinat",2,2
"167","radfahr",5,3
"168","grunflach",3,3
"169","grenz",4,3
"170","dom",2,1
"171","grundauswert",2,1
"172","list der haufig vornam",2,1
"173","vordruck",4,2
"174","hotel",2,2
"175","stadtbaum",2,2
