"","term_stem","impressions","visits"
"1","lor",58,8
"2","wfs",59,6
"3","wms",34,3
"4","grunanlagenbestand",28,18
"5","wass",17,6
"6","migrationshintergrund",15,4
"7","strass",26,8
"8","lor einwohn",13,1
"9","bezirk",16,10
"10","geometri",15,5
"11","gewass",12,5
"12","dop20rgb",13,2
"13","grunanlag",15,13
"14","flurkart",15,12
"15","arbeitslos",14,8
"16","dgm",10,4
"17","mietendeckel",14,11
"18","vornam",16,12
"19","strassenbefahr",8,1
"20","ortsteil",17,5
"21","ozon",13,7
"22","shp",7,3
"23","block",7,1
"24","vbb",10,6
"25","miet",15,10
"26","bevolker",6,2
"27","gtfs",7,7
"28","postleitzahl",7,2
"29","moabit west",5,1
"30","kita",5,4
"31","kart",6,4
"32","statist block",5,1
"33","fahrrad",8,6
"34","digital orthophotos",5,1
"35","haltestell",6,6
"36","opnv",5,3
"37","bvg",6,3
"38","alkis",7,4
"39","trinkbrunn",5,3
"40","einwohn",8,5
"41","tourismus nachhalt",5,1
"42","flurstuck",8,4
"43","rbs",7,7
"44","bus",4,4
"45","shapefil",4,3
"46","lor shp",7,4
"47","radverkehr",4,2
"48","orthophotos",4,2
"49","digital farbig orthophoto 2018 dop20rgb",9,7
"50","warm",4,1
"51","verkehr",6,4
"52","zugzielanzeig s bahn berlin",4,1
"53","grundsicher",4,2
"54","einwohnerdicht",4,2
"55","bsr",5,3
"56","gebaud",5,4
"57","kml",4,1
"58","budget",4,1
"59","einkomm",4,2
"60","rad",6,4
"61","lsa",4,1
"62","lk5",4,1
"63","nam",5,3
"64","wohnung",6,2
"65","moabit bredow",4,1
"66","haushaltseinkomm",4,1
"67","bezirksgrenz",4,3
"68","stadtentwickl statist",3,1
"69","denkmal",6,5
"70","arbeit",3,2
"71","grunflach",5,4
"72","haushalt",4,3
"73","senatsbeschluss",9,9
"74","einwohn 2017",3,2
"75","volkswirtschaft gesamtrechn pharmazeut industri",3,1
"76","behinder",3,1
"77","rbs adress",8,5
"78","badestell",3,2
"79","mulltrenn",3,2
"80","block und blockteilflach basis",3,1
"81","biomull",3,2
"82","alleinerzieh",3,1
"83","berlin wfs",3,2
"84","lichtenberg",3,1
"85","mietobergrenz",4,2
"86","berlin stadtschloss",3,1
"87","wahl",3,1
"88","liegenschaftskart",3,1
"89","stromatlas",3,1
"90","energi atlas",3,1
"91","schulamt friedrichshain",3,1
"92","atom",3,1
"93","digital orthophotos 2018 wms",3,1
"94","bib",3,1
"95","wfs erhol",3,1
"96","gruenanlag",3,1
"97","alkis gebaud",3,2
"98","stellenausschreib",3,1
"99","kriminalitat",4,4
"100","geometri bezirk",4,2
"101","1940",3,1
"102","gis",2,2
"103","einbruchsstatist",2,2
"104","emd strass",2,2
"105","park",3,3
"106","mietspiegel",4,3
"107","parking",2,2
"108","verkehr berlin",2,1
"109","bimschg",2,1
"110","luftbild",4,3
"111","stadtplan",3,2
"112","sprach",2,1
"113","wasserversorg",2,1
"114","kindertagesstatt",2,1
"115","rahmenvertrag",2,1
"116","paris abkomm",3,2
"117","bebauungsplan",3,2
"118","digital farbig orthophoto 2018",2,2
"119","strat larmkart l n",2,1
"120","denkmalkart",2,1
"121","verbind anwend der elektron vergab",2,2
"122","abwass",3,3
"123","geo",2,1
"124","adress",4,3
"125","strom",2,2
"126","flurkart sfx",2,1
"127","kanal",2,1
"128","jugend",3,2
"129","warmebelast",2,1
"130","protokoll",2,1
"131","friedrichshain",2,2
"132","alt",3,2
"133","ortsteil von berlin",2,2
"134","koordinat",2,1
"135","landesdenkmalamt",2,1
"136","radweg",3,2
"137","wohnlag",2,1
"138","kind und jugend",2,1
"139","flachennutzungsplan",2,1
"140","grz",2,2
"141","messnetz",2,1
"142","niederschlag",4,2
"143","bruttoinlandsprodukt",2,1
"144","jugendzentrum",2,1
"145","berlin schloss",2,1
"146","kiez",2,1
"147","5000",2,1
"148","digital orthophotos wms",2,1
"149","04",2,1
"150","berlin statttaub schutz berlin or statdtaub kein schadling",2,1
"151","stromkost",2,1
"152","invalidenstrass",3,2
"153","bad",2,1
"154","kreuzberg",2,1
"155","sachgrundlos befrist",2,1
"156","kfz",2,1
"157","grun",2,1
"158","birkenstrass ecl bredowstrass",2,1
"159","strassenverzeichnis",4,3
"160","dop",3,2
"161","04 senatsbeschluss",2,1
"162","asylblg",2,1
"163","friedrichshain kreuzberg",2,2
"164","verbrech",2,1
"165","bezirk shap",3,2
"166","wartenberg",2,1
"167","parkbucht",2,1
"168","stromstoss",2,1
"169","einschulbereich",2,1
"170","geojson",3,2
"171","senatsbeschluss vom 3 5 2016",2,1
"172","marzahn landsberg alle",2,1
"173","kfz zulass",2,1
"174","gsi",2,1
"175","sgb ii",3,2
"176","berlin heizungsprogramm",2,1
"177","geometri shaup",2,1
"178","kitas",2,1
"179","natur denkmal",2,1
"180","vornam neugebor",2,2
"181","nachhalt tourismus",2,1
"182","moabit",3,2
"183","gini",2,1
"184","adresspunkt",2,1
"185","schwimmbad",2,2
"186","12489 albert einstein strass",2,1
"187","ampeln",2,1
"188","lod1",2,1
"189","pendl",2,1
"190","digital topograph kart",2,1
"191","europawahl",2,2
"192","dietrich kalkum",2,1
"193","staatsop",2,1
"194","lebenswelt orientiert raum",3,2
"195","wms liegenschaft",2,1
"196","statist",2,1
"197","senatsbeschluss vom 21 5 2016",2,1
"198","wohnraum",2,1
"199","wfs erhol utm",2,1
"200","geschaftsordn",2,1
"201","ampel",2,1
"202","alkohol",2,1
"203","moabit west kriminalitat",2,1
"204","geodatenservic",2,2
"205","e mobillity",2,1
"206","list vornam",2,1
"207","stadtmitt",2,1
"208","kart bezirk",2,1
"209","schulerticket",2,1
"210","zugriffsstatist",2,2
"211","bauordn",2,1
"212","spielplatz",3,2
"213","miet deckel",2,1
"214","bank",4,3
"215","wfs 2019",2,1
"216","kriminalitatsatlas",2,1
"217","hotelstandort",2,1
"218","haushalt lor",2,1
"219","2019",1,1
"220","sparql",2,1
"221","mietpreisbrems",2,1
"222","wfs umweltatlas",1,1
"223","wohnlag schmollerstrass",2,2
"224","parkplatz",2,2
"225","wahlbezirk 505 ergebnis",1,1
"226","taxi",1,1
"227","sport event tourism",1,1
"228","index",1,1
"229","fraueninfrastruktur",1,1
"230","histor dat",1,1
"231","smart grid",1,1
"232","trees",1,1
"233","abbau fordermittel",1,1
"234","flexperto",1,1
"235","lor haushalt",2,2
"236","polizei",2,2
"237","medienbild",1,1
"238","co2",1,1
"239","bodenbeschaff",1,1
"240","haushalt 2020",1,1
"241","bik",1,1
"242","stiftung deutsch technikmuseum",1,1
"243","building",1,1
"244","gebaudehoh",1,1
"245","mittagess",1,1
"246","senstadt",1,1
"247","pank",1,1
"248","stadtinformationssystem",1,1
"249","tourismus",2,2
"250","biotop",1,1
"251","86",1,1
"252","einwohnerinn und einwohn",1,1
"253","kreislaufverwert bio",1,1
"254","einwohn bezirk",2,2
"255","senatsvorlag",2,2
"256","krampnitz weg",1,1
"257","palais am festungsgrab",1,1
"258","hamburg",1,1
"259","ozon 3",1,1
"260","lottoannahmestell",1,1
"261","13627",1,1
"262","verkehrsberuhigt bereich",1,1
"263","fis brows",1,1
"264","modulbau",1,1
"265","digital farbig orthophoto",1,1
"266","wahl in berlin 2019",1,1
"267","s 982",1,1
"268","einwohn teilverkehrszell",1,1
"269","tempelhof feld",1,1
"270","arbeitslos bezirk",1,1
"271","fennpfuhl",1,1
"272","erhaltungssatzungsgebiet kreuzberg",1,1
"273","zoo",1,1
"274","kernindikator",1,1
"275","bomb",1,1
"276","geodat",1,1
"277","westphal",1,1
"278","sharing",1,1
"279","alkis denkmal",1,1
"280","standesamt",1,1
"281","startup",1,1
"282","entwickl und potential",1,1
"283","die anzahl der sozialhilfeempfang",1,1
"284","hundesteu",1,1
"285","pauschalreis",1,1
"286","strassennam",1,1
"287","schild",1,1
"288","schwengelpump",1,1
"289","elektroschrott",1,1
"290","arbeitslosenanteil",1,1
"291","baumkatast",1,1
"292","munch",1,1
"293","tier",1,1
"294","sgb ii 2017",1,1
"295","8 4v",1,1
"296","bergbauschad",1,1
"297","amt fur statist berlin brandenburg",1,1
"298","open data",1,1
"299","bruttonationaleinkomm",1,1
"300","block and bevolker",1,1
"301","schul",2,2
"302","detailnetz berlin",1,1
"303","grosstafelsiedl",1,1
"304","immobili",1,1
"305","justiz",2,2
"306","technisch datenblatt",1,1
"307","bio abfallverwert",1,1
"308","warmebelast anstieg",1,1
"309","planungsraum",1,1
"310","hilucs",1,1
"311","digital orthophoto 2018",2,2
"312","erwerbslos",2,2
"313","grosswohnsiedl",1,1
"314","verkehrsw",1,1
"315","rbs adress 2018",1,1
"316","kart 50000",1,1
"317","teilverkehrszell",1,1
"318","strassenbahn",1,1
"319","flurkart fur ein berlin grundstuck",1,1
"320","sozialmietwohn",1,1
"321","bergbau",1,1
"322","berlin statttaub schutz",1,1
"323","zuzug",1,1
"324","bodenrichtwert berlin 2018",1,1
"325","lageplan",1,1
"326","stattaub schutz berlin",1,1
"327","stadtteilmutt",1,1
"328","mullverwert trennung",1,1
"329","kleingart",1,1
"330","minna todenhag",1,1
"331","alkis grundstuck berlin",1,1
"332","sustainabl development goal 2030",1,1
"333","mecklemburg seenplatt",1,1
"334","tierschutz",1,1
"335","1467",1,1
"336","spielstrass",2,2
"337","bier",2,2
"338","kulturell angeleg",1,1
"339","baumanagement",1,1
"340","alexa kruppka",1,1
"341","bevolkerungsprognos",1,1
"342","senat",1,1
"343","statttaub nicht schadling",1,1
"344","bruttoinlandsprodukt pharmazeutischenindustri",1,1
"345","umweltzon",1,1
"346","2017",1,1
"347","stattaub",1,1
"348","hochschulabschluss",1,1
"349","statttaub",1,1
"350","grussnanlagenbestand",1,1
"351","bauamt berlin tempelhof bauamt bauantrag",1,1
"352","vogelherd eichkamp",1,1
"353","einwohn lor planungsraum",1,1
"354","einwohn prognos",1,1
"355","senatsvorlag der senatsverwalt fur stadtentwickl und wohn",1,1
"356","wilmersdorf",1,1
"357","marzahn",1,1
"358","senatsverwalt fur wirtschaft",1,1
"359","fortzug",1,1
"360","blockstruktur",1,1
"361","tourismus marketing",1,1
"362","verkehrszeich",2,2
"363","s bahn berlin anzeigetafel",1,1
"364","kanalnetz",1,1
"365","spielplatzbestand",1,1
"366","wfs 2017",1,1
"367","luft",1,1
"368","kanalisation",1,1
"369","bauamt berlin tempelhof",1,1
"370","mullverwert",1,1
"371","obdachlos",2,2
"372","sdg 2030",1,1
"373","stadtstruktur",1,1
"374","spandau",2,2
"375","ostberlin",1,1
"376","honow wiesenweg bezirk",1,1
"377","orthophoto 2018 dop20rgb",1,1
"378","einpersonenhaushalt",1,1
"379","grunanalag",1,1
"380","schulamt kreuzberg",1,1
"381","wohnlagenkart",1,1
"382","10963 mockerstr",1,1
"383","investition",2,2
"384","wohnungsmiet",1,1
"385","kreislaufverwert",1,1
"386","flachenvorhalt",1,1
"387","restaurant",1,1
"388","therapi",1,1
"389","luftguet",1,1
"390","sozialhilf lor",1,1
