"","term_stem","impressions","visits"
"1","lor",36,9
"2","rbs",37,17
"3","einwohn",22,11
"4","bevolker",19,4
"5","bezirk",26,18
"6","vornam",22,15
"7","geometri",12,5
"8","einkomm",13,9
"9","energi",21,7
"10","wohndau",10,3
"11","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2011",9,1
"12","vbb",11,8
"13","strass",13,6
"14","flurkart",16,8
"15","wahl",9,4
"16","bvg",10,9
"17","energieverbrauch",14,9
"18","2017",8,2
"19","flachennutzungsplan",8,3
"20","einwohnerinn und einwohn in den ortsteil berlin",8,1
"21","lor planungsraum",8,2
"22","wasserbetrieb",7,1
"23","block",11,4
"24","wfs",7,2
"25","adress",9,3
"26","shp",6,2
"27","schul",14,11
"28","zaa",6,1
"29","ortsteil",6,3
"30","gemeinschaft mit korperschaftsstatus",6,1
"31","fahrrad",6,4
"32","rbs block",11,7
"33","luftbild",9,5
"34","lor ausland",5,1
"35","webatlas",6,4
"36","wms",6,5
"37","haushalt",7,3
"38","2018",1,1
"39","alkis",8,5
"40","kindertag",4,4
"41","pfleg",4,2
"42","stadtteil",5,5
"43","spandau",4,2
"44","u bahn",7,5
"45","gebaud",5,2
"46","migrationshintergrund",7,6
"47","bodenrichtwert",9,6
"48","muse",4,2
"49","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2013",4,1
"50","berlin bezirksgrenz",4,1
"51","s bahn",4,3
"52","einwohn ortsteil",4,1
"53","berlinpass",5,3
"54","denkmal",5,3
"55","lageplan",4,1
"56","kita",5,4
"57","abgeordnetenhaus",3,1
"58","park",5,4
"59","shapefil",4,4
"60","baum",5,5
"61","bevolker berlin",3,1
"62","einwohn berlin",3,1
"63","verwaltungsreform",3,1
"64","feuerwach",3,1
"65","offent",3,1
"66","gewass",3,2
"67","wfs ortsteil",3,1
"68","transport",4,3
"69","verkehr",4,4
"70","berlin mau",3,1
"71","geodat ortsteil",3,1
"72","stadtviertel",4,2
"73","tempelhof schoneberg",3,1
"74","geschlecht alt",3,1
"75","suizid",3,2
"76","finanz",4,2
"77","fnp",3,3
"78","pflegeheim",3,2
"79","kmu",3,1
"80","topographi",3,1
"81","lor einwohn",3,2
"82","am bauerse strreinigungsklass",3,1
"83","abfall",3,1
"84","haushaltswirtschaft",3,1
"85","immobili",4,2
"86","einwohnerzahl",3,2
"87","feuerwehr",4,3
"88","religion",3,2
"89","fis brok",5,4
"90","bebauungsplan",5,3
"91","plz",5,2
"92","sepa lastschriftverfahr",3,2
"93","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2012",3,1
"94","gtfs",4,4
"95","koordinat",3,2
"96","bevolkerungsprognos",3,2
"97","dgm",3,3
"98","stadtplan",4,2
"99","wett",4,3
"100","berg",4,2
"101","gebaud effizienz",3,1
"102","gart",3,2
"103","fnp 2019",2,2
"104","schillerkiez",2,2
"105","geologi",2,2
"106","grundschul",2,2
"107","psych",2,2
"108","mindestlohn",2,1
"109","volksbegehr videouberwach",2,2
"110","bleibtreu",2,2
"111","lichtenberg",2,2
"112","wms ortho",2,2
"113","atkis",2,1
"114","kreuzberg",2,2
"115","betreibervertrag",2,2
"116","inspir",2,1
"117","vhs",2,2
"118","jahr",2,1
"119","einkommensstruktur",2,2
"120","wasserstand",2,1
"121","gis",2,2
"122","xenia espresso gmbh",2,1
"123","kindertagesstatt",3,2
"124","neukolln",3,2
"125","baum wfs",3,2
"126","kml",2,1
"127","opnv",2,2
"128","mitt",4,2
"129","wmf kleingart",2,1
"130","standort",2,1
"131","begegn or fussverkehr",2,1
"132","1989",2,1
"133","facharzt",3,2
"134","mokib",3,2
"135","bibliothek",2,2
"136","06",1,1
"137","kunst und kultur",2,1
"138","bezirksgrenz",3,2
"139","wohnlag",2,1
"140","reparatur",2,1
"141","subway",2,1
"142","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2010",2,1
"143","wahlergebnis",2,1
"144","positionspapi",2,1
"145","stadtteilgrenz open data",2,1
"146","positionspapi begegn or fussverkehr",2,1
"147","migrationshintergrund lor planungsraum",2,1
"148","miet",3,2
"149","einwohn 2017",2,2
"150","wasserkart",2,1
"151","steinstuck",2,1
"152","schonhorst strass",2,2
"153","population",2,2
"154","milieuschutzgebiet",3,2
"155","einwohn 31 12 2016",2,1
"156","einwohnerinn und einwohn in berlin in lor planungsraum am",2,1
"157","wahlerverzeichnis",2,1
"158","frau",2,2
"159","brunn",4,2
"160","histor kart",3,2
"161","einwohnerinn und einwohn in berlin in lor planungsraum",2,1
"162","open data berlin",2,1
"163","2019",1,1
"164","verbeamt lehr",2,2
"165","statonar aufenthaltskost",2,1
"166","fisbrok",2,2
"167","geodat",4,3
"168","asylblg",2,1
"169","metadat",2,1
"170","stadtteilgrenz berlin",2,1
"171","berlin strassenverzeichnis",2,1
"172","bundestagswahl",2,2
"173","reinigungsklass schonhorst strass",2,1
"174","co2",2,2
"175","sepa lastschriftmandat",2,1
"176","personal",2,1
"177","wass",3,2
"178","detailvereinbar detv",2,1
"179","kirch",2,2
"180","religionsgemeinschaft",3,2
"181","begegnungszon",4,2
"182","ausland",2,1
"183","gemeinnutz arbeit",2,1
"184","2 bettzimmerkost",2,1
"185","datenschutz",2,1
"186","demografi",2,1
"187","landesgrenz",2,1
"188","migrationshintergrund 2018",2,2
"189","st",2,1
"190","sozialstrukturatlas",3,2
"191","90138416",2,1
"192","je bezirk",2,1
"193","lsa",2,2
"194","zensus",2,2
"195","planungsraum",2,2
"196","wahlkreis",4,4
"197","adress kindertagespflegestell",2,2
"198","umzug",2,1
"199","energieeffizienz",2,1
"200","kameral",3,2
"201","anmeld grundschul",3,2
"202","rbs ortsteil",2,2
"203","gelandehoh",3,2
"204","am hegewinkel",2,1
"205","polizeiaufgabengesetz",2,1
"206","zeit",2,1
"207","sachgrundlos befrist",2,1
"208","bus",3,2
"209","mull",2,2
"210","frauentag",2,1
"211","380kv",2,1
"212","u bahn netz u or bahn or v or bb",2,1
"213","einwohn 2016",3,3
"214","geo",4,4
"215","blum blum",2,1
"216","einwohn weissense",2,1
"217","blum",2,1
"218","beschluss des berlin senat 1994",2,1
"219","stadtteilgrenz",2,1
"220","nox",2,1
"221","altglas",2,2
"222","wms dat",2,1
"223","beschluss des berlin senat vom 22 februar 1994",2,1
"224","grundwass",2,1
"225","einwohn 2018",4,4
"226","mobilitat",2,1
"227","biblio",2,1
"228","strass klkassec",2,1
"229","geojson",2,2
"230","migrationshintergrund 2017",2,2
"231","topo",2,2
"232","eiskell",2,1
"233","potenzialflach",2,1
"234","senwirt",2,1
"235","feuerwehrschul",2,1
"236","gemark lankwitz",2,1
"237","gelandemodell",2,1
"238","hotel",4,2
"239","belrin",2,1
"240","ortsteil berlin",2,1
"241","bauantrag",2,1
"242","bauabfall",2,1
"243","zib",2,1
"244","alkis wfs",2,1
"245","blum e",2,1
"246","beamt",2,1
"247","subqaq",2,1
"248","klr",2,1
"249","energieverbrauchsubersicht",2,1
"250","volkshochschul",3,2
"251","gastronomi",2,1
"252","census",2,1
"253","volksf",2,1
"254","weissense",2,1
"255","subqay",2,1
"256","tempolimit",3,2
"257","parkenplatz",1,1
"258","user satisfaction",1,1
"259","haushaltsgross",1,1
"260","tankstell",3,3
"261","café eroffn",1,1
"262","grafik",1,1
"263","einwohn bezirk lichtenberg",1,1
"264","frag zum vogelschutz",1,1
"265","wfs strassennetz",1,1
"266","flachennutz wfs",1,1
"267","interdisziplinar flachenrecycling",1,1
"268","senatsprotokoll",1,1
"269","fahrplan",1,1
"270","nachhalt tourismus",1,1
"271","list verbot nam",1,1
"272","tourismuswirtschaft",1,1
"273","alkis gebaeudeflaech",1,1
"274","basisbericht",1,1
"275","reinigungsklass schonhorst strass reinigungsklass schonhorst strass",1,1
"276","rout",1,1
"277","u",1,1
"278","brandschutz",1,1
"279","city lab",1,1
"280","polizei",1,1
"281","senstadt",1,1
"282","data",1,1
"283","road",1,1
"284","14480",1,1
"285","bau",1,1
"286","privacy",1,1
"287","die neuer des betriebsrentenstarkungsgesetz",1,1
"288","tourismus",2,2
"289","zuwander",1,1
"290","flachenrecycling durch kontrolliert ruckbau",1,1
"291","suburbanisier",1,1
"292","haushalt nach postleitzahl",1,1
"293","verkehrsunfall",1,1
"294","friseursaloo",1,1
"295","treptow kopenick ortsteilnumm",1,1
"296","meinerzhag",1,1
"297","carsharing",1,1
"298","satellit foto",1,1
"299","s 1534 2018",1,1
"300","steu",1,1
"301","gratz",1,1
"302","href s r o",1,1
"303","warm",1,1
"304","neuordnungsvereinbar",1,1
"305","topograph kart 1 5000",1,1
"306","grunanlag",1,1
"307","detailvereinbar or neuordnungsvereinbar or liquiditatsmodell",1,1
"308","verbraucherindex 2015",1,1
"309","gemeindebehord",1,1
"310","aufschluss",1,1
"311","nahverkehrsplan",2,2
"312","mau",1,1
"313","gelb sack",1,1
"314","auto regist",1,1
"315","jugendhilf",1,1
"316","schwarz",1,1
"317","gemeind",2,2
"318","zielbild zielbild",1,1
"319","gewalt geg frau",1,1
"320","iot",1,1
"321","berlinonlin",1,1
"322","heizkesseltausch fordermittel",1,1
"323","kleingart",1,1
"324","hub",1,1
"325","bulgari",1,1
