"","term_stem","impressions","visits"
"1","wfs",131,13
"2","strass",41,12
"3","verkehr",27,6
"4","alkis",36,20
"5","vermess at ba fk berlin de",19,11
"6","radrout",18,9
"7","flurkart",25,21
"8","trinkbrunn",18,16
"9","energi",13,1
"10","zugriff",12,1
"11","krankenhaus",13,5
"12","lor",16,10
"13","vbb",14,9
"14","ortsteil",9,4
"15","einwohnerinn und einwohn in berlin in lor planungsraum wohndau ausland wohndau",9,2
"16","wahl",8,2
"17","feuerwehr",12,5
"18","neukolln",7,4
"19","klima",7,4
"20","shapefil",10,5
"21","fahrrad",9,9
"22","strom",7,3
"23","wohnatlas",7,1
"24","wass",7,4
"25","bvg",14,8
"26","rbs",9,6
"27","polizei",10,5
"28","gewass",7,2
"29","gtfs",10,9
"30","adress",7,5
"31","strassennam",6,2
"32","park",7,6
"33","tourismus",7,5
"34","schul",12,9
"35","strassenverzeichnis",7,6
"36","bezirk mitt",6,2
"37","kml",5,2
"38","baum",9,7
"39","verkehr wms",5,1
"40","sudwestkorso",5,1
"41","lod2",10,8
"42","religion",5,2
"43","vornam",8,5
"44","wikipedia",5,1
"45","dgm",5,5
"46","plz",6,2
"47","wohneim",4,1
"48","flurstuck",10,9
"49","sozialstrukturatlas",5,2
"50","bodenrichtwert",7,3
"51","alt",4,3
"52","ampeln",4,3
"53","wannse",4,2
"54","bevolker",4,3
"55","block",6,2
"56","geburt",6,2
"57","rbs adress",4,3
"58","katast",5,2
"59","baumbestand",6,3
"60","fahrradrout",4,2
"61","bevolker alt",4,1
"62","bibliothek",6,3
"63","bezirk",7,6
"64","chidi",3,2
"65","strassennetz",6,2
"66","kita",5,5
"67","berlin",3,2
"68","spielplatz",4,3
"69","otto corbach",3,2
"70","grundwass",3,1
"71","einwohnerdicht",3,3
"72","bahn",3,3
"73","radverkehrsanlag",3,3
"74","einwohn",4,3
"75","oberflachenmodell",5,4
"76","finanz",3,1
"77","grun gebiet",3,1
"78","einwohnerinn und einwohn in berlin in lor planungsraum",3,1
"79","senatsbeschluss",6,6
"80","gebaud",4,2
"81","trinkwass",4,3
"82","opnv",3,3
"83","energieverbrauch",3,2
"84","kleinraum",3,1
"85","altglas",3,1
"86","postleitzahl",5,3
"87","postleitzahl brandenburg",3,1
"88","dop",5,3
"89","tunnel",3,1
"90","planungsraum",5,2
"91","brunn",4,2
"92","geburt in berlin",3,1
"93","kitas",3,1
"94","ix 193",3,1
"95","flurstuckkart",3,1
"96","einkomm und einnahm",3,1
"97","umland",3,1
"98","gemark",5,5
"99","31 12 2017",3,1
"100","trinkbrunn im bezirk",5,3
"101","fluglarm bbi",3,2
"102","luftbild",4,2
"103","berlin 1940",3,1
"104","zugriffsstatist",3,2
"105","stolperstein kafka",3,1
"106","mobilitat",3,3
"107","netz",2,1
"108","berlin mau",2,1
"109","fccs first class cleaning gmbh fccs",2,1
"110","postleitzahl teltow",2,1
"111","niederschlag",2,2
"112","wett",2,2
"113","lichtenberg",3,2
"114","baublock",3,2
"115","radfahr",5,4
"116","treptow kopenick",4,2
"117","info gmbh",2,1
"118","analysendat anion",2,1
"119","verzeichnis",2,1
"120","1867",2,1
"121","altersarmut",3,2
"122","bod",3,2
"123","bezirkamt",2,1
"124","webcam",2,1
"125","2019",2,1
"126","stefan zweig",2,1
"127","rad",3,3
"128","kita spandau",2,1
"129","boschung",4,3
"130","wissenschaft",2,1
"131","migration",2,2
"132","off welt",2,1
"133","fahrradfahr",2,1
"134","sozialdat",2,1
"135","geodat",2,2
"136","flurstuckseinmess",2,1
"137","bundesstrass",2,1
"138","wohnlag",3,2
"139","stadtumbau",2,1
"140","berlin galeri",2,1
"141","wfs alkis",2,1
"142","rixdorf",2,1
"143","api",3,2
"144","verbrauch",2,1
"145","rbs block",3,3
"146","visum",2,1
"147","heilprakt",2,1
"148","tourist",2,1
"149","flustucksbemass",2,1
"150","grundschul",4,3
"151","strassenreinigungsverzeichnis",2,1
"152","stromverbrauch",2,1
"153","lebenswelt orientiert raum",3,3
"154","bestand",2,1
"155","tagespfleg",2,1
"156","unfall",2,1
"157","lichtmast",2,2
"158","grw",4,4
"159","kunstlich intelligenz",2,1
"160","friedenau",2,1
"161","berlin wasserbetrieb",2,1
"162","hausnumm",2,1
"163","einwohnerzahl zehlendorf",2,1
"164","wms",2,2
"165","ampel",2,2
"166","kafka",2,1
"167","einzelhandel",2,1
"168","kindergart",3,2
"169","strassennetz berlin",2,1
"170","ausgleichsfach",2,1
"171","s bahn",4,3
"172","marzahn hellersdorf",2,1
"173","demographi alt",2,1
"174","steglitz",2,1
"175","haltestell",3,3
"176","arbeitslosenquot",2,1
"177","einkomm",3,2
"178","postleitzzahl",2,1
"179","kriminal",2,2
"180","kirch",2,1
"181","arbeitslos",3,3
"182","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2016",2,1
"183","gerhard neuk",2,1
"184","mitt",2,1
"185","u bahn station",2,1
"186","ausgleichsfkach",2,1
"187","trinkbrunn in bezirk",2,2
"188","wohngebiet",2,1
"189","treptow",2,1
"190","brunn gart",2,1
"191","schlangenbad strass",2,1
"192","arbeitslosenanteil",2,1
"193","coworking",2,2
"194","3d",3,3
"195","bodenrichtwert bodenrichtwert",2,1
"196","txl",2,1
"197","wander",2,1
"198","unterflurhydrant boxberg strass",2,1
"199","temperatur",2,1
"200","bus",2,2
"201","beweg",2,1
"202","2015",1,1
"203","chatbot",2,1
"204","waldgartnprojekt neukolln britz",2,1
"205","kriminalitat",3,3
"206","wohnungsbau",2,1
"207","abgeordnetenhauswahl",2,1
"208","supermarket",2,1
"209","kreuzberg schoneberg",2,1
"210","hydrant",5,3
"211","kreuzberg mittl einkomm",2,1
"212","lidl",2,1
"213","metro",2,1
"214","senatsvorlag recherchestipendi",2,1
"215","arbietslos",2,1
"216","ausgleichsfach fur kleingartenkoloni",2,1
"217","trinkbrunn friedrichshain kreuzberg",2,2
"218","volontariat kunst werk berlin e v",2,1
"219","strom profil",2,1
"220","polizeiabschnitt",2,1
"221","erstis",2,1
"222","tempolimit",2,2
"223","behindertenparkplatz",2,2
"224","vorlag recherchestipendi",2,1
"225","tegelort",2,1
"226","tempelhof",2,2
"227","demographi bevolker alt",2,1
"228","haushaltseinkomm",2,1
"229","student wohneim",2,1
"230","geschwind",2,1
"231","kleingart",1,1
"232","metzgerei",1,1
"233","treptow kopenick bevolker",1,1
"234","flur",1,1
"235","glinick bruck",2,2
"236","hinterlieg",1,1
"237","liegenschaftskatastar",1,1
"238","roll",1,1
"239","unternehm",1,1
"240","duisburg",1,1
"241","senatsunterlag",1,1
"242","immobilienagentur",1,1
"243","netzwerk",1,1
"244","arbeitsmarkt",1,1
"245","auto",1,1
"246","adress brandenburg",1,1
"247","fahrerassistenzsyst",1,1
"248","pn 98",1,1
"249","statist landesamt",1,1
"250","moabit",1,1
"251","berlin district",1,1
"252","wohnungspreis",1,1
"253","muslim",1,1
"254","wasserspeich",1,1
"255","prognoseraum kart",1,1
"256","rudi witt",1,1
"257","beruf",1,1
"258","built evironment",1,1
"259","fluglarm",1,1
"260","digitalisier",1,1
"261","einwohnerzahl",1,1
"262","strass wms",1,1
"263","index verbot buch",1,1
"264","feinstaub",1,1
"265","stau",1,1
"266","einkomm und einnahm sowi ausgab privat haushalt",1,1
"267","satzung",1,1
"268","animal",1,1
"269","cycl",1,1
"270","kita bericht",1,1
"271","summenlast nicht leistungsgemess kund",1,1
"272","grunflach",1,1
"273","padovicz",1,1
"274","spa 1 spa or 1",1,1
"275","gemeind",1,1
"276","bezirksgrenz",1,1
"277","klima berlin bestand",1,1
"278","umweltplankett",1,1
"279","elektrizitatspreis",2,2
"280","einwohn 2011",1,1
"281","berlin schoneberg haberlandstrass haberlandstrass",1,1
"282","okolog betreib",1,1
"283","fis",1,1
"284","preis",1,1
"285","ringbahn",1,1
"286","bsr reinig",1,1
"287","kitaplatz spandau",1,1
"288","tourismuskonzept",1,1
"289","stadtrad",1,1
"290","atkis dom",1,1
"291","wahlergebnis",1,1
"292","kino",1,1
"293","wasserqualitat",1,1
"294","bau",1,1
"295","strassenkatalog",1,1
"296","bvv",1,1
"297","fitness",1,1
"298","grenz",2,2
"299","berlin allianzn",1,1
"300","schwengelpump",1,1
"301","bik",2,2
"302","offic",1,1
"303","first class cleaning gmbh",1,1
"304","crahskur",1,1
"305","katast strass",1,1
"306","lor kiez",1,1
"307","street shapefil",1,1
"308","spandau",2,2
"309","ruckstell",1,1
"310","kiezkart",1,1
"311","don",1,1
"312","senatsbeschluss 25 09 2018",1,1
"313","3",1,1
"314","baugenehm",1,1
"315","fccs first class cleaning gmbh",1,1
"316","singlehaushalt",1,1
"317","veroffentlich personenbezog dat",1,1
"318","alkis berlin ortsteil",1,1
"319","lastprofil",1,1
"320","allend",1,1
"321","scoot",1,1
"322","bauwerk",1,1
"323","don ess",1,1
"324","dem",1,1
"325","katasteramt",1,1
"326","geologi",1,1
"327","hwr",1,1
"328","kreuzberg",2,2
"329","mau",1,1
"330","reinickendorf",1,1
"331","raumpflicht",1,1
"332","liegenschaft",1,1
"333","kulur",1,1
"334","mama c",1,1
"335","area verd",1,1
"336","empfang",2,2
"337","siehndel",1,1
"338","reinickendorf befolkerungsstrucktur",1,1
"339","veroffentlich person dat",1,1
"340","mta",1,1
"341","senatsbeschluss miet",1,1
"342","parking",1,1
"343","u bahn",3,3
"344","fortschritssbericht aufbau ost",1,1
"345","parkhaus",2,2
"346","ewr",1,1
"347","nicht arbeitslos empfang von transferleist",1,1
"348","nachbarschaft",1,1
"349","speed",1,1
"350","index",1,1
"351","sol",1,1
"352","sozial",1,1
"353","fis brock",1,1
"354","saugling",1,1
"355","einkauf",1,1
"356","fahrplan",1,1
"357","unterflurhydrant",1,1
"358","biobau",1,1
"359","klimamodell",1,1
"360","berlin schoneberg haberlandstrass",1,1
"361","schul bvg",1,1
"362","social media",1,1
"363","stadtplan",1,1
"364","prognoseraum",1,1
"365","histor",1,1
"366","spa 1",2,2
"367","dat",1,1
"368","buch mos",1,1
"369","landeseig",1,1
"370","strassenbaum",2,2
"371","adrtess brandenburg",1,1
"372","alkis kart",1,1
"373","beschluss",1,1
"374","altkleid",1,1
"375","wohnlageneinstuf",1,1
"376","k 5",1,1
"377","gis",2,2
"378","zeit",1,1
"379","ozon",1,1
"380","contain",1,1
"381","gesund",1,1
"382","schulerticket",1,1
"383","dop wms",1,1
"384","schul ticket",1,1
"385","neukolln schuleinzugsbereich",1,1
"386","sozialdat lichtenberg",1,1
"387","flustucksmass",1,1
"388","publikation",1,1
"389","wunsiedel weg reinigungsklass",1,1
"390","mcfit",1,1
"391","bundesstrass stadtplan",1,1
"392","flurstuckplan",1,1
"393","rot insel",1,1
"394","haberlandstrass",1,1
"395","krieg",1,1
"396","hochschul",1,1
"397","volontariat kunst werk berlin",1,1
"398","einwohnerinn und einwohn in berlin in lor planungsraum wohndau",1,1
"399","supermarkt",1,1
"400","was geht ab in berlin",1,1
"401","schoneberg",1,1
"402","stadtumbau neu mitt tempelhof",1,1
"403","statist gebiet",1,1
"404","gewerb",1,1
"405","bhkw",1,1
"406","lankwitz",2,2
"407","stellenangebot",1,1
"408","alkis berlin flurstuck",1,1
"409","dat und fakt",1,1
"410","personal",1,1
"411","sozialrat lichtenberg",1,1
"412","poll",1,1
"413","biolog betreib",1,1
"414","shap",1,1
"415","friedrichshain kreuzberg",1,1
"416","strom lastprofil",1,1
"417","wand",1,1
"418","einwohn biesdorf",1,1
"419","strompreis",1,1
"420","liegenschaftskart",1,1
"421","visa",1,1
"422","fluchtlinienplan spandau",1,1
"423","trinbrunn",1,1
"424","list der haufig vornam 2017",1,1
"425","gesetz",1,1
"426","einzelhandel bestandsdat",1,1
"427","glascontain",1,1
"428","raumid",1,1
"429","bar",2,2
"430","taxibetrieb",1,1
"431","prenzlau berg vinetastr",1,1
"432","flurplan",1,1
"433","waldgartenprojekt neukolln britz",1,1
"434","berlin atlas преступлений",1,1
"435","10247",1,1
"436","parkplatz",1,1
"437","buromarkt",1,1
"438","radverkehr",1,1
"439","09 09 2014",1,1
"440","einwohn in block",1,1
"441","einwohn 2018",1,1
"442","polizeidirektion",1,1
"443","landwirtschaft",1,1
"444","hospital",1,1
"445","wohn undl lebensqaulitat",1,1
"446","caf",2,2
"447","alkis katasterkart",1,1
"448","tourimus",1,1
"449","bezirk list",1,1
"450","flrukart",1,1
"451","bauabgang",1,1
"452","ausland anteil",1,1
"453","flurdat",1,1
"454","zuwend",2,2
"455","flurkart flurkart",1,1
"456","bundesstrass stadtplan berlon",1,1
"457","bevolkerungsdicht",1,1
"458","berchtesgad str",1,1
"459","stadtentwickl berlin",1,1
"460","taxi",1,1
"461","adresskoordinat",1,1
"462","klimaschutz",1,1
"463","strassenbeleucht",1,1
"464","bcis",1,1
"465","britz",1,1
"466","nachnutz tegel",1,1
"467","sozialstrukturatlas 2006",1,1
"468","fluchtlinienplan",1,1
"469","flughaf tegel",2,2
"470","erhaltungssatzungsgebiet",1,1
"471","haushaltstyp",1,1
"472","abs",1,1
"473","flex offic spac",1,1
"474","larm",1,1
"475","raumidentifikator",1,1
"476","arzt",2,2
"477","flurkartenausschnitt",1,1
"478","adress berlin",1,1
"479","stadtmodell",1,1
"480","lor grenz",1,1
"481","dat n und fakt",1,1
"482","liegenschaftskatast",2,2
"483","leitbild",1,1
"484","passmann",1,1
"485","beteiligungsunternehm",1,1
"486","johann birn",1,1
"487","kraftwerk",1,1
"488","franz marc",1,1
"489","1",1,1
"490","student",1,1
"491","adressdat berlin",1,1
"492","strass shap",1,1
"493","wahl 2016",1,1
"494","rbs lor",1,1
"495","k5",1,1
"496","berlin allianz",1,1
"497","kleingartenanlag wfs",1,1
"498","berlin wass",1,1
"499","altglascontain",1,1
"500","book",1,1
"501","woheim",1,1
"502","hartz4",1,1
"503","genehm",1,1
"504","medizin",1,1
"505","nextbik",1,1
"506","strassenrein",1,1
"507","abfall",1,1
"508","bestandsbaum",1,1
"509","kerndat",1,1
"510","plz berlin",1,1
"511","altglas gelieustr",1,1
"512","buro",1,1
"513","erwerbstat",1,1
"514","bundesstrass stadtplan berlin",1,1
"515","gdp",1,1
"516","mauerpark",1,1
"517","baumkatast",1,1
"518","protokoll und beschluss 2014",1,1
"519","standardlastprofil",1,1
"520","tourismussoziologi",1,1
"521","verkehrsfuhr",1,1
"522","atkis siedlung",1,1
"523","ladestation",1,1
"524","stadtmuseum",1,1
"525","geburt bezirk geburt bezirk",1,1
"526","vbb fahrplandat via api",1,1
"527","einschulungsbereich",1,1
"528","strass shapefil",1,1
"529","cir",1,1
"530","einwohn in bloclenk",1,1
"531","landeseig flach",1,1
"532","alkis katsterkart",1,1
"533","bebauungsplan",1,1
"534","ticket",1,1
"535","atkis",1,1
"536","grundstucksgrenz",1,1
"537","empfanf",1,1
"538","storung",1,1
"539","energieverbrauchsubersicht",1,1
"540","einwohnerzahl biesdorf",1,1
"541","geojson",1,1
"542","1800",1,1
"543","wahlbezirk",1,1
"544","telekommunikation",1,1
"545","wohnanlag",1,1
"546","geo",1,1
"547","studentenwoheim",1,1
"548","umsteigezeit",1,1
"549","verwirr der gefuhl",1,1
"550","radweg",1,1
"551","einsatz",1,1
"552","club",1,1
"553","strapenverzeichnis",1,1
"554","satndardlastprofil",1,1
"555","kart",1,1
"556","viertel",1,1
"557","gew",1,1
"558","esb",1,1
"559","tif",1,1
"560","zuwendungsdatenbank",1,1
"561","kindertagesbetreu",1,1
"562","erwerbsuntat",1,1
"563","plan",1,1
"564","waldgart britz",1,1
"565","freizeit wfs",1,1
"566","co2",1,1
"567","fahrrad wms",1,1
"568","erhaltungssatz",1,1
"569","bio",1,1
"570","rot insel or",1,1
"571","postleitzahl brd",1,1
"572","weihnachtsmarkt",1,1
"573","geometri der wahlbezirk",1,1
"574","lor alterstruktur",1,1
"575","bevolker alt gesund",1,1
"576","nam",2,2
"577","verbindungspunkt",1,1
"578","kleinraum sozialstrukturatlas",1,1
"579","schien",1,1
"580","bevolker prognoseraum",1,1
"581","escoot",1,1
"582","detailnetz",1,1
"583","bevolkerungswachstum",1,1
"584","ausland anteil 2014",1,1
"585","hohenmodell",1,1
"586","was geht ab in berlin c",1,1
"587","haushalt strom",1,1
"588","steglitz altglas",1,1
"589","boscghung",1,1
"590","haushalt lastprofil",1,1
"591","kaulsdorf busch",1,1
