"","term_stem","impressions","visits"
"1","lichtenberg",21,8
"2","gtfs",26,23
"3","verkehr",19,6
"4","mitt",17,5
"5","kita",15,10
"6","vornam",22,15
"7","nam",23,8
"8","fahrrad",18,9
"9","berlin",14,3
"10","haushalt",20,2
"11","einwohnerinn und einwohn in den ortsteil berlin",12,2
"12","block",24,6
"13","dop",12,5
"14","vbb",12,10
"15","ortsteil",12,5
"16","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum am",10,1
"17","lor",13,9
"18","ausland einwohnerinn",9,2
"19","grw",15,6
"20","adress",10,7
"21","park",15,8
"22","friedrichshain kreuzberg",8,5
"23","einwohnerinn und einwohn in berlin in lor planungsraum wohnlag wohndau herkunft ausland migrationshintergrund",8,3
"24","einwohn",9,5
"25","strass",13,6
"26","einkomm",12,4
"27","grunflach",8,3
"28","bezirk",15,11
"29","reinickendorf",7,4
"30","mietspiegel",9,3
"31","geodat luftbild",6,1
"32","wohnlagenzuordn",6,2
"33","bodenrichtwert",9,3
"34","lebenswelt",6,1
"35","bericht",7,2
"36","neukolln",9,4
"37","toilett",9,5
"38","vermess at ba fk berlin de",5,4
"39","rbs",5,3
"40","shp",5,2
"41","2019",5,2
"42","einwohn nach wohndau",5,2
"43","polizei",5,3
"44","gebaud",5,2
"45","alkis berlin",5,1
"46","standort",6,2
"47","breitband",5,3
"48","fahrplan",7,3
"49","geburt",6,5
"50","treptow kopenick",4,3
"51","kfz",4,2
"52","immobili",4,3
"53","steglitz",8,6
"54","einwohnerinn und einwohn nach wohnlag",4,1
"55","flachennutzungsplan",4,1
"56","stadtplan",6,4
"57","wohndau",5,2
"58","einwohnerinn und einwohn in berlin in lor planungsraum am einwohnerinn und einwohn in berlin in lor planungsraum am",4,1
"59","miet",4,3
"60","charlottenburg wilmersdorf",4,2
"61","lebenswelt orientiert raum lor",4,1
"62","haltestell",6,4
"63","fisbrok",4,3
"64","strassenbefahr",5,2
"65","wald",4,1
"66","lor bezirksregion 2011",4,1
"67","haushaltseinkomm",3,2
"68","planungsraum",3,1
"69","mindestlohn",6,5
