"","term_stem","impressions","visits"
"1","vornam",93,69
"2","adress inspir",28,2
"3","einwohn",37,13
"4","lor",30,11
"5","shp",15,4
"6","wass",14,5
"7","nam",16,11
"8","strass",28,13
"9","atkis",11,2
"10","gtfs",20,19
"11","planungsraum lor",10,1
"12","liegenschaftskart",11,4
"13","senior",10,1
"14","luftbild",20,6
"15","flurkart",22,12
"16","dgm",18,7
"17","fahrrad",13,8
"18","europawahl",14,13
"19","einkomm",10,6
"20","alkis",9,6
"21","bezirk",12,7
"22","rbs",15,8
"23","pump",11,9
"24","seniorensport",7,7
"25","flurstuck",14,8
"26","verkehr",7,5
"27","strassenverzeichnis",10,4
"28","wahllokal",9,4
"29","einwohnerinn und einwohn in berlin in lor planungsraum am",6,1
"30","einwohnerinn und einwohn lor",6,2
"31","adress",11,6
"32","strassenbefahr",8,3
"33","shapefil",7,6
"34","wahlbezirk",8,6
"35","2018",1,1
"36","vbb",6,4
"37","postleitzahl",8,5
"38","parking",5,3
"39","bevolker",9,7
"40","marathon",5,1
"41","sgb ii",5,1
"42","geologi",6,2
"43","schul",7,4
"44","csv",5,1
"45","solar",5,1
"46","radrout",6,5
"47","wahl",5,4
"48","bod",4,1
"49","mietspiegel",6,5
"50","fluchtling",7,3
"51","fairtrad",4,1
"52","modular unterkunft fur fluchtling",4,2
"53","ortsteil",7,3
"54","beliebt vornam",4,1
"55","larmkart",5,2
"56","lebenswelt orientiert raum lor in berlin",4,2
"57","haushalt",9,6
"58","geojson",4,3
"59","modular unterkunft",4,1
"60","lod2",6,4
"61","baufertigstell",5,2
"62","hochschulpakt",4,1
"63","verbot buch",4,4
"64","planz",3,3
"65","pflegedien",4,3
"66","unfall",5,4
"67","pfleg",3,1
"68","reinickendorf",3,2
"69","s 1104",4,3
"70","orthophotos",3,1
"71","baum",6,5
"72","radverkehr",3,3
"73","wcs",3,1
"74","polizei",3,3
"75","berlin lichtenberg",3,1
"76","europawahl 2019",6,5
"77","europawahl12019",3,1
"78","pdf",3,1
"79","erstnam",5,5
"80","sozialstruktur",3,2
"81","5000",3,2
"82","gewass",3,2
"83","kleingartenanlag",3,1
"84","list beliebt vornam jung",3,1
"85","standort",3,2
"86","31 12 2018",3,1
"87","kart 5000",3,2
"88","eingliederungshilf",3,1
"89","wahlbezirk europawahl",3,2
"90","gebaudeumriss",3,1
"91","bodenrichtwertatlas",3,1
"92","migrationshintergrund",3,1
"93","dop",3,2
"94","bik",5,4
"95","kriminalitat",3,2
"96","wett",3,2
"97","20 1 2009",3,1
"98","strom",3,1
"99","pflegeeinricht",3,1
"100","kleid contain",3,1
"101","altersarmut",3,1
"102","wahlbezirk 518",3,1
"103","flurstuckubersicht karlshorst",3,1
"104","wahl lokal 2019",3,1
"105","asyl",3,1
"106","vornahm",3,1
"107","gebaudenutz",3,1
"108","wahl 2019",4,3
"109","auflist der glaubig",2,2
"110","mitt",2,2
"111","rbs block",3,3
"112","ubersichtskart",2,1
"113","grundwass",2,2
"114","kopftuch",2,1
"115","numb of pub",2,1
"116","landesgrenz",2,1
"117","alt",3,3
"118","kita",3,3
"119","geburt",2,2
"120","liegenschaftskart mit luftbild",2,1
"121","nachnam",2,2
"122","lehr beamt",2,1
"123","gegenuberstell der gebaudenutz",2,1
"124","2012 and and 2017",2,1
"125","schwangerschaft abbruch",2,1
"126","luftqualitat",3,2
"127","park",3,3
"128","sozialstrukturatlas",2,2
"129","nox",2,1
"130","vornam 2018",5,3
"131","ost berlin",2,1
"132","einkomm spandau",2,1
"133","haltestellenzugang",2,1
"134","unternehmensinsolvenz",2,1
"135","energieverbrauchsubersicht",2,2
"136","gebaud",4,4
"137","europawahl12019 berlin spandau wahllokal 312",2,1
"138","mannlich vornam ranking",2,1
"139","tegel",2,1
"140","txl",2,1
"141","beschluss wiss",2,1
"142","gelandemodell",3,3
"143","tourismus",3,2
"144","haltestell",2,2
"145","radweg",4,4
"146","grunanlag",3,3
"147","strassenverzeichnis neukolln",2,1
"148","kopenick",2,1
"149","veranstalt",3,3
"150","rad",2,2
"151","religion",2,1
"152","radfahr",3,3
"153","treptow kopenick",4,2
"154","organisation des trag der eingliederungshilf",2,1
"155","senatsbeschluss 28 03 2019",2,1
"156","weg",2,1
"157","termin wichtig sozial ereignis",2,1
"158","brunn",2,2
