"","term_stem","impressions","visits"
"1","verkehr",32,9
"2","vornam",21,16
"3","alkis",25,15
"4","bod wms",17,3
"5","lor",18,7
"6","wms",15,8
"7","luftbild",20,5
"8","json",13,3
"9","einwohnerinn",13,1
"10","planungsraum",13,4
"11","adress",25,8
"12","strass",18,7
"13","bezirk",17,12
"14","wohn",10,3
"15","weihnachtsmarkt",14,7
"16","rbs",19,9
"17","versiegel",8,2
"18","nam",11,7
"19","katast",8,4
"20","shapefil",8,7
"21","fahrrad",13,10
"22","ortsteil",11,6
"23","2009",7,1
"24","bezirksgrenz",17,7
"25","arbeitslos",8,2
"26","europawahl",7,4
"27","kindergart",6,3
"28","gtfs",12,11
"29","2018",2,2
"30","einwohn",7,6
"31","wifi",6,4
"32","einkomm",6,2
"33","alt",6,3
"34","vbb",12,10
"35","2017",7,3
"36","mitt",6,2
"37","mobilitat",6,6
"38","gemark",10,9
"39","vermess at ba fk berlin de",5,5
"40","geltungsbereich",5,1
"41","berlin wasserbetrieb",5,1
"42","wast",5,2
"43","miet",11,8
"44","senatsbeschluss",6,3
"45","ostbahnhof wunsdorf waldstadt",5,1
"46","sozialatlas",5,1
"47","kart",7,2
"48","marzahn hellersdorf",5,3
"49","fahrradstand",6,4
"50","verlauf der berlin mau",5,1
"51","planungsraum einwohn",5,1
"52","gewerb",5,2
"53","wahl",6,2
"54","baum",12,10
"55","gebaud",4,2
"56","mietendeckel",5,3
"57","gebiet",4,1
"58","abfall",4,3
"59","grunflach",5,3
"60","wasserbetrieb",4,2
"61","werbung",4,2
"62","flurkart",7,6
"63","postleitzahlengebeit",4,1
"64","kriminalitat",4,3
"65","2017 verkehr",4,1
"66","stadtentwickl",4,1
"67","wass",5,2
"68","platz",7,3
"69","detailnetz berlin",4,1
"70","gemeind",4,3
"71","baumbestand",5,3
"72","zugriffsstatist",4,4
"73","westkreuz",3,2
"74","trinkwass",3,3
"75","charlottenburg wilmersdorf",3,2
"76","neukolln",5,2
"77","olympiastadion",3,1
"78","wohndau",3,3
"79","lep",3,1
"80","latern",4,2
"81","henningsdorf",3,1
"82","inspir",3,1
"83","parking",3,1
"84","spandau",5,4
"85","schul",6,6
"86","2014 v 20 01 2015",3,1
"87","beteiligungsunternehm",3,1
"88","bahn",3,3
"89","einkomm stadtteil",3,2
"90","radfahr",4,3
"91","wfs",4,4
"92","kaufkraft",3,2
"93","berlin wunsdorf waldstadt",3,1
"94","kita",5,5
"95","neufertstrass",3,1
"96","wander",4,2
"97","weg",3,2
"98","markt",4,2
"99","bod",3,1
"100","feldkapazitat",3,1
"101","beteiligungsdatenbank",4,4
"102","beamt",3,1
"103","einwohn 2009",3,1
"104","1990",3,2
"105","berlin bezirk",4,2
"106","fahrgast",3,3
"107","jugend",3,1
"108","denkmal",3,2
"109","stadtplan",3,3
"110","baugrundkart",3,2
"111","bodengesellschaft",3,1
"112","dynam index 20183",3,1
"113","topographi",3,1
"114","fitnesstudio",3,2
"115","kampfmittelfind luftbild",3,1
"116","flach shp",3,1
"117","temperatur",3,1
"118","badestell",4,3
"119","religion und lebenskundeunterricht",3,1
"120","mull",3,1
"121","berlin de",3,3
"122","offent beleucht",3,1
"123","wassersp",3,1
"124","hoh beschrank",4,2
"125","fussgang",4,3
"126","fennpfuhl",3,2
"127","lod1",7,5
"128","senatsbeschluss investitionsprogramm",3,1
"129","offent toilett",4,3
"130","22 10",3,1
"131","2019",1,1
"132","bvg",2,2
"133","politzei",2,2
"134","anwohn",2,2
"135","baustein",2,2
"136","gesund",2,1
"137","flach",2,1
"138","handlung",2,2
"139","brunn",3,3
