"","term_stem","impressions","visits"
"1","shp",19,4
"2","fairtrad",17,9
"3","energieverbrauch",17,11
"4","csv",16,3
"5","geometri",17,5
"6","gebaud",11,3
"7","geodat",13,5
"8","vornam",18,12
"9","alleinerzieh",10,4
"10","block",16,4
"11","rbs",13,6
"12","verkehr",9,6
"13","strass",11,4
"14","gtfs",10,8
"15","vbb",12,7
"16","statist block",7,2
"17","einkomm",8,4
"18","rbs block",7,2
"19","lebenswelt",7,2
"20","verkauv erbbaubelastet grundstuck an den erbbauberechtigt",6,1
"21","adress",14,5
"22","alkis",8,5
"23","nam",6,4
"24","flurkart",12,8
"25","grundkart",5,1
"26","wasserbetrieb",5,2
"27","lor",8,3
"28","katast",5,2
"29","energieverbrauchsubersicht",4,3
"30","lor planungsraum",4,1
"31","energi",4,4
"32","1002",4,2
"33","u bahn",4,2
"34","kultur",7,2
"35","api",4,1
"36","bezirk",9,7
"37","berlin strass",4,1
"38","badestell",4,3
"39","beschluss v 2018",4,1
"40","moabit",5,4
"41","baby",4,2
"42","wahlkreis",4,1
"43","nois",4,2
"44","kopen",4,1
"45","brandschutz",3,2
"46","netz",3,3
"47","wochenmarkt berlin",5,2
"48","naturschutzrecht",3,1
"49","fahrrad",5,5
"50","bezirksregion von treptow kopenick",3,1
"51","hydrant",3,1
"52","luft",3,2
"53","mietpreis",3,2
"54","erbbaubelastet grundstuck",3,1
"55","geolog bohrdat",3,1
"56","lehr",5,3
"57","wass",4,2
"58","brunn",3,2
"59","kunst",3,1
"60","wahl",4,3
"61","erwerbslosenzahl",3,1
"62","einschulungsuntersuch",3,1
"63","verkehrsaufkomm",3,1
"64","richtwert fur stellplatzbedarf",3,1
"65","alleinerzieh neukolln",3,2
"66","polizei",4,4
"67","larm",4,3
"68","mitt",4,3
"69","auktion",3,1
"70","luftbild",3,2
"71","echtzeit",3,1
"72","pegel",3,1
"73","geojson",3,1
"74","berlin 1650",3,1
"75","hochschul",3,1
"76","veranstalt",4,3
"77","opf",3,1
"78","bus",2,2
"79","gewalt",2,2
"80","unterflurhydrant",2,1
"81","ortsteil",4,3
"82","wahllokal 2019 neukolln",2,1
"83","los",2,2
"84","miet",5,5
"85","jugendgewalt",2,1
"86","schul",9,8
"87","tempelhof",4,4
"88","einwohn",3,3
"89","arzt lichtenberg",3,2
"90","beschaftigt",2,1
"91","wohnung",2,1
"92","bvg",2,2
"93","dezibel",3,2
"94","auslanderanteil de",2,1
"95","zuzug",2,2
"96","kita",3,2
"97","lageplan",3,2
"98","verfahr zur ermittl des verkehrwert",2,1
"99","grundstuck erbbauberechtigt",2,1
"100","tempel",2,1
"101","senatsbeschluss",4,3
"102","geodat baum or baum",2,1
"103","alt glienick grund",2,1
"104","einwohnerinn und einwohn mit migrationshintergrund",2,1
"105","oper",2,1
"106","kind",2,2
"107","flughaf tegel",2,1
"108","tourismus",2,1
"109","papi sammelstell",2,1
"110","15 1002",3,2
"111","wohnflach",2,2
"112","verkauf an den erbbauberechtigt",2,1
"113","bevolker",3,3
"114","ermittl des verkehrswert",2,1
"115","kart",4,2
"116","digital gelandemodell",2,1
"117","stellplatzverordn",2,1
"118","tempohom",2,1
"119","erbbaubelastet grundstuck an den erbbauberechtigt",3,2
"120","stromnetz",2,1
"121","lastprofil",3,2
"122","bundestagwahl",2,1
"123","bvv",2,2
"124","grundstuck an den erbbauberechtigt",2,1
"125","straka",2,1
"126","tempolimit zionskirchstrass",2,1
"127","abwass",3,2
"128","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum",2,1
"129","flachennutzungsplan",2,2
"130","verkehrszahl",2,1
"131","profil",2,1
"132","bezirk shapefil lor",2,1
"133","verfahr zur ermittl des verkehrwert bei der verausser von erbbaubelastet grundstuck an den erbbauberechtigt",2,1
"134","opnv",2,1
"135","verkehrsbelast",2,1
"136","finanzlag",2,1
"137","sprach",2,1
"138","handbuch",2,1
"139","demografi",3,2
"140","beamt",2,1
"141","modulbau",3,2
"142","population grid",2,1
"143","unternehm",2,2
"144","shapefil",2,2
"145","rathaus kopenick",2,1
"146","verkehrsmeng",2,1
"147","energieverbrauch reinickendorf",2,1
"148","offent liegenschaft reinickendorf",2,1
"149","s bahn",2,1
"150","hauskoordinat",2,1
"151","district",2,1
"152","stellplatzbedarf",2,1
"153","stolperstein",2,1
"154","grundschul",2,2
"155","fahrplandat",2,1
"156","feiertag",3,2
"157","beschluss",4,2
"158","bad",2,1
"159","wahlkreis wahlergebnis",2,1
"160","toruismus",2,1
"161","kriminalitatsatlas",2,1
"162","lod2",2,2
"163","sozialstrkturatlas 2017",2,1
"164","kriminalitat",2,1
"165","rbs block 2017",2,1
"166","neubau adlershof",1,1
"167","gewerb",1,1
"168","8 marz",1,1
"169","alt berlin",1,1
"170","list der haufig vornam 2010",1,1
"171","besoldungsanpass 2019",1,1
"172","weihnachtsbaum",1,1
"173","kundenkart vbb",1,1
"174","dtrom",1,1
"175","altersverteil der bevolker in reinickendorf",1,1
"176","fussgang",1,1
"177","lift chair",1,1
"178","wiedereinfuhr",1,1
"179","graffiti",1,1
"180","pankow",1,1
"181","fontan",1,1
"182","kreis und kreisfrei stadt",1,1
"183","parkplatz",2,2
"184","gewass",1,1
"185","saub berlin",1,1
"186","open data veranstalt",1,1
"187","wohngebaud",1,1
"188","mord",1,1
"189","plan bahnhof friedrichstrass",1,1
"190","wahllokal neukolln",2,2
"191","ordnung",1,1
"192","co2",1,1
"193","tempolimit",1,1
"194","dgm",2,2
"195","regenbogenfabr",1,1
"196","angebotsmiet",2,2
"197","mau shp",1,1
"198","wahlergebnis bundestagswahl 2017",1,1
"199","brachflach",1,1
"200","modular",1,1
"201","postleitzahl",1,1
"202","stadt international",1,1
"203","friedhof",1,1
"204","nas",1,1
"205","freiwilligendien",1,1
"206","mull",1,1
"207","warm",2,2
"208","einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum am 30 06 2018",1,1
"209","stadtbezirk",1,1
"210","tarif",1,1
"211","rad",1,1
"212","fotografi",1,1
"213","tiergart",1,1
"214","direktmandat abgeordnetenhaus",1,1
"215","freie universitat",1,1
"216","sozial wohnungsbau",1,1
"217","2017",1,1
"218","pfleg",1,1
"219","volksentscheid",1,1
"220","verk",1,1
"221","auswahlverfahr",1,1
"222","stadtumbau",1,1
"223","hidrant",1,1
"224","ausgab",1,1
"225","hkw",1,1
"226","unbewohnt",1,1
"227","buchhandl",1,1
"228","einschulbereich",2,2
"229","erhaltungsgebiet",1,1
"230","wedding",1,1
"231","beschaftigt lor",1,1
"232","umkreis",1,1
"233","eu beauftragt",1,1
"234","av wohn",1,1
"235","ausgab privat haushalt",1,1
"236","uni",1,1
"237","energieverbrauchsubersicht bezirk gebaud",2,2
"238","bevolkerungsentwickl",1,1
"239","2019",1,1
"240","rhenaniastrass",1,1
"241","lernsoftwar",1,1
"242","park rid",1,1
"243","bevolker demografi",1,1
"244","europabeauftragt",2,2
"245","webservic",1,1
"246","einwohn lor",1,1
