"","term_stem","impressions","visits"
"1","geodat",87,7
"2","rbs",30,11
"3","alkis",37,14
"4","flurkart",33,20
"5","adress",29,8
"6","verkehr",15,3
"7","bezirk",27,11
"8","vornam",15,13
"9","geometri",13,4
"10","ortsteil",14,10
"11","gtfs",14,13
"12","ozon",10,8
"13","dgm",12,7
"14","parkplatz",8,3
"15","open data",8,1
"16","einwohn",13,6
"17","lor",9,6
"18","vermess at ba fk berlin de",7,3
"19","kart",12,3
"20","strassenbefahr",7,2
"21","transport",7,3
"22","fahrrad",14,12
"23","shapefil",8,7
"24","shap",6,3
"25","biotop und artenschutz biotop und artenschutz",6,1
"26","gebaud",10,7
"27","geltungsbereich",9,5
"28","bevolker",9,7
"29","flurstuck",10,6
"30","feinstaub",6,3
"31","berlin",6,2
"32","vbb",9,8
"33","dop",7,5
"34","mietendeckel",5,2
"35","gis",5,4
"36","bezirksamt friedrichshain kreuzberg von berlin vermess",5,1
"37","wfs",8,2
"38","geothermi",5,1
"39","haltestell",7,6
"40","einwohnerdicht",5,1
"41","arbeitslosenquot",5,1
"42","famfz 2017",4,2
"43","schutzgebiet",4,1
"44","alt friedhof wuhlgart",4,1
"45","polizei",4,2
"46","migrationshintergrund",4,2
"47","weihnachtsmarkt",5,2
"48","fahrplan",6,5
"49","umweltatlas",7,4
"50","grundwass",6,3
"51","tourismus",4,3
"52","bezirksgrenz",4,1
"53","zahlstell",5,5
"54","koordinat",4,1
"55","grundwass tief fransoch buchholz",4,1
"56","atkis",5,4
"57","u bahn",5,3
"58","offent",4,1
"59","rad",4,4
"60","co2",4,1
"61","bezirksamt friedrichshain kreuzberg von berlin vermess dxf",4,1
"62","park",5,4
"63","strassenbahn",3,2
"64","lapro",3,2
"65","biotop",5,2
"66","shp",3,2
"67","stadtbezirk",3,2
"68","solar",4,2
"69","lini",3,1
"70","larm",3,2
"71","milieuschutz",3,2
"72","radverkehr",4,4
"73","flutkart",3,1
"74","geometri der wahlbezirk",3,1
"75","berlin um 1690",4,2
"76","wohndau",4,3
"77","bodenrichtwert",7,4
"78","liegenschaftskatast",5,4
"79","bevolker lor",3,1
"80","einwohnerzahl",4,2
"81","altersgrupp",3,1
"82","strass 52a",5,2
"83","grundwass tief um berlin landkart",3,1
"84","stadtplan",3,1
"85","station",3,3
"86","sgb ii",4,2
"87","verkehrsmittel",3,2
"88","rbs bezirk",5,4
"89","berlin hermsdorf wickhofgrab",3,1
"90","umweltatlas wfs",3,1
"91","strass",10,6
"92","schul",6,6
"93","tankstell",9,8
"94","umsetz or transparent or liegenschaftspolit",5,2
"95","postleitzahl",4,2
"96","energieverbrauch",4,2
"97","arbeitslosenquot in berlin nach bezirk",3,1
"98","radweg",3,3
"99","senatsvorlag",4,3
"100","entsorg",3,1
"101","kml",3,1
"102","dom",3,2
"103","kuckuckstrass 19",3,1
"104","strategi",3,1
"105","berlin adress",3,1
"106","elektr",3,1
"107","3d",4,3
"108","luftbild",4,2
"109","vornam neugebor berlin",3,1
"110","grundschul",2,2
"111","grundwassertief alt buchholz",2,1
"112","bewohn steglitz zehlendorf",2,2
"113","buch",4,4
"114","berlin wasserbetrieb",2,1
"115","bebau",2,1
"116","kopenick muhlenfliess",2,1
"117","plakett kauf",2,2
"118","religion",2,1
"119","flurkart feldmannstrass",2,1
"120","taxi",2,2
"121","abfall",3,2
"122","preis",2,1
"123","fotos",2,1
"124","test",2,1
"125","radfahrstreif",2,1
"126","stadtteilmutt",2,1
"127","bescheinigungsbehord",2,1
"128","pankow wochenmarkt",2,1
"129","fahrplanauskunft",2,1
"130","parking",2,1
"131","radfahr",4,3
"132","grundwassermessstell",2,1
"133","wohnblock",4,3
"134","flurkart erlin",2,1
"135","lidar",2,1
"136","db inspir geojson",2,1
"137","strass und volksf",2,1
"138","brunn",2,2
"139","unisex toilett",2,1
"140","schiffsverkehr",2,1
"141","jesid",2,1
"142","grundwass tief",2,1
"143","kindertagespfleg",2,1
"144","schulweg",2,2
"145","singl haushalt alt mensch",2,1
"146","grundbesitz",2,1
"147","kart vermess",2,1
"148","verkehr gesetzesentwurf",2,1
"149","denkmalkart",2,2
"150","flach",2,2
"151","zentral leistungsstell goslar ufer 15",2,1
"152","trinkbrunn",3,2
"153","kopenick erholungsgebiet",2,1
"154","holzwarth",2,1
"155","sozialstrukturatlas",3,3
"156","energi",3,2
"157","bezirksamt friedrichshain kreuzberg von berlin vermess at kart",2,1
"158","parkanlag",2,1
"159","grunflach",3,3
"160","grundwass tief buchholz",2,1
"161","bibliothek",2,1
"162","kreuzberg",3,3
"163","lageplan",4,3
"164","grundwass tief um berlin",2,1
"165","wass",2,1
"166","sgb ii lor",2,1
"167","bebauungsplan",3,3
"168","wickhofgrab",2,1
"169","berlin spandau",2,1
"170","berlin lageplan",2,1
"171","smart",2,2
"172","blumenberg damm",2,1
"173","lor sgb ii",2,1
"174","aufnahmeprogramm",2,2
"175","ernst fisch",3,2
"176","nachhalt",2,2
"177","bvg",3,2
"178","ernst fisch ernst or fisch",2,1
"179","wahl",3,2
"180","lichtmast",2,1
"181","wohnung",2,1
"182","wms",2,1
"183","parkraumbewirtschaft",2,1
"184","rbz",3,3
"185","kart 1 5 000",2,1
"186","gutacht",3,2
"187","erhaltungsgebiet",2,2
"188","fisch",4,2
"189","strassennetz",2,1
"190","citi",2,1
"191","einwohn 2018",2,1
"192","bahn",2,2
"193","kopenick",2,1
"194","gewass",3,2
"195","sauerstoff",2,1
"196","echtzeit",2,1
"197","vermess at berlin de",2,1
"198","arbeitslos",2,2
"199","gemark",3,3
"200","suhr siedlung",2,1
"201","stossense",3,2
"202","jugendhilf",2,1
"203","ladestation",2,2
"204","rest",2,1
"205","schuless",2,1
"206","wahlbezirk 309",2,1
"207","mietspiegel",2,1
"208","lichtsignalanlag",2,1
"209","europawahl",3,2
"210","cité pasteur",2,1
"211","lor planungsraum geographi",2,1
"212","19a",1,1
"213","verdiensterheb",2,1
"214","katast",2,1
"215","ubahn",4,2
"216","toilett unisex",2,1
"217","309",2,1
"218","shapefil berlin",2,1
"219","gebaudeschad",2,1
"220","hze",2,1
"221","siedlung otto",3,2
"222","bevolkerungsdicht",2,2
"223","dtk",2,1
"224","verkehrsunfall",3,2
"225","kindertagesstatt",2,1
"226","miet",2,1
"227","einschulbezirk",2,1
"228","detailnetz",2,2
"229","kameral monatsdat",2,2
"230","bad",2,1
"231","umgeb",2,1
"232","katasteramt fluerstuck flurkart",2,1
"233","schlagloch",2,1
"234","tk25",2,1
"235","einwohn planungsraum",2,1
"236","b plan",2,2
"237","stadbezirk",2,1
"238","flurstuck friedrichsfeld",2,1
"239","elektr energi",2,1
"240","dxf k5",2,1
"241","metro",2,1
"242","untergrundmodell",2,1
"243","flurkartw",2,1
"244","baumbestand berlin",2,1
"245","train",2,1
"246","arbeitslosenquot arbeitslosenquot in berlin nach bezirk",2,1
"247","arbeitslos berlin",2,1
"248","adress kitas",2,1
"249","wass marsch",2,2
"250","kopenick erholingsgebiet",2,1
"251","15 05 2018",2,1
"252","untergrund",2,1
"253","gebaudemodell",2,1
"254","offent verkehrsmittel",2,1
"255","spandau",2,1
"256","verkehr und personenaufkomm",2,1
"257","00805a",1,1
"258","2018",1,1
"259","txl",1,1
"260","kraftrad motorrad",1,1
"261","antrag auf erricht ein brunn",1,1
"262","vornam 2015",1,1
"263","qm reuterstrass",1,1
"264","niederspann",1,1
"265","doppelhaushalt",1,1
"266","burgerbeteil",1,1
"267","toilett",1,1
"268","gisportal",1,1
"269","straf",1,1
"270","biotopkartier",1,1
"271","bevolkerungsentwickl",1,1
"272","fis",1,1
"273","trinkwasserbrunn",1,1
"274","geo",1,1
"275","landstrass in berlin",1,1
"276","pipelin",1,1
"277","pkw or zahlstell",1,1
"278","bornick dick str",1,1
"279","index status",1,1
"280","altkleid",1,1
