"","term_stem","impressions","visits"
"1","corona",94,74
"2","lor",21,9
"3","toilett",19,5
"4","umweltatlas",15,1
"5","bodenrichtwert",15,3
"6","wms",14,5
"7","einwohn",18,11
"8","block",27,4
"9","wohndau",14,3
"10","geologi",12,2
"11","gtfs",14,11
"12","alkis",12,4
"13","coronavirus",10,4
"14","wohn",11,3
"15","servic",9,1
"16","einwohnerinn und einwohn in berlin in lor planungsraum am",9,1
"17","bezirk",12,10
"18","kita",8,8
"19","einwohn lor planungsraum",8,1
"20","einkomm",11,4
"21","verkehrslenk",6,3
"22","umweltzon",6,2
"23","lor planungsraum",6,2
"24","verkehr",8,3
"25","grenz",7,3
"26","vermess",6,3
"27","geologi wms wfs",6,1
"28","dgm",13,7
"29","freistell",6,1
"30","parchwitz str",5,1
"31","mietspiegel",5,4
"32","geodat grundwass",5,1
"33","naturdenkmal",7,5
"34","wass wms wfs",5,1
"35","luftbild",8,3
"36","ortsteil",10,3
"37","einwohnerinn und einwohn in berlin in lor planungsraum",5,2
"38","solaranlag",6,2
"39","flurstuck",6,3
"40","bahn",5,1
"41","10553 berlin",5,1
"42","fahrrad",7,6
"43","tourismus",4,4
"44","adress",6,4
"45","einwohnerzahl",7,7
"46","ampeln",4,1
"47","blindang",4,1
"48","solar",4,2
"49","neukolln",4,3
"50","einwohn or wohn or 2018",4,1
"51","dom",4,2
"52","gebaud",8,5
"53","senatsbeschluss",12,10
"54","breitbandversorg",4,1
"55","berlin kanaldeckel",4,1
"56","einwohn berlin",4,2
"57","strassennetz",4,1
"58","strassennamenverzeichnis",4,2
"59","flurabstand",4,1
"60","2014 v 20 01 2015",4,1
"61","rbs",6,3
"62","energieverbrauch",4,1
"63","einwohn lor planungsraum 31 12 2018",4,1
"64","flurkart",4,3
"65","kfz",4,2
"66","grundwass",5,2
"67","bevolkerungszahl",5,2
"68","blindang pankow",4,1
"69","student",9,4
"70","3106",4,1
"71","vbb",4,3
"72","3d",3,3
"73","cov",3,1
"74","berlin bezirk",3,1
"75","luft",3,2
"76","mein handy recyceln",3,1
"77","wohnlagenkart",3,2
"78","einwohn 2019",3,3
"79","startups",3,2
"80","krankenhaus",5,5
"81","strassennam neu",3,2
"82","amt fur statist",3,1
"83","vegetation wms wfs",3,1
"84","arbeit or behinder",3,1
"85","strass nam",3,1
"86","wohnbauflach",5,2
"87","schul",3,2
"88","baumbestand",3,1
"89","wass",5,3
"90","gesund",4,2
"91","anlag",3,1
"92","ladesaul",5,3
"93","standort",3,1
"94","jugendamt",3,1
"95","strassenverzeichnis",4,3
"96","energi",4,2
"97","nam",3,2
"98","shp",3,1
"99","photovolta",3,1
"100","notbetreu",3,2
"101","bevolkerungsdicht",3,3
"102","covid",3,3
"103","wohnlag",5,2
"104","luftbild pankow",3,1
"105","agilis",3,1
"106","alleinerzieh",5,3
"107","auskunft aus dem liegenschaftskatast",3,1
"108","grundwass flurabstand",3,1
"109","rrechtsverordn zum coronavirus",3,1
"110","verwaltungsgrenz",4,2
"111","flur plan",3,1
"112","berlin k5",3,1
"113","einwohn in den ortsteil berlin am",3,1
"114","covid 19",5,3
"115","sport",5,2
"116","lidar",4,4
"117","shap",3,2
"118","friedrichshain",3,1
"119","mitt",3,3
"120","pankow",4,2
"121","mokib mokib modular kita baut fur berlin",3,1
"122","webatlas",3,1
"123","pkw fuhrerschein",3,1
"124","restaurant",2,2
"125","logist",2,2
"126","offnungszeit",2,1
"127","soforthilf",4,3
"128","plz",3,3
"129","aufzug",2,1
"130","trinkwasseranalys",3,3
"131","postleitzahl",4,4
"132","briefkast standort",3,2
"133","einwohnerdicht",2,2
"134","planungsraum",4,3
"135","lor wohndau",2,1
"136","vornam",3,2
"137","spandau einwohn",2,2
"138","fhir",2,1
"139","orto",2,1
"140","kindertagespflegestell",2,1
"141","qualitat gebaud",2,1
"142","spandau",2,2
"143","integration",2,1
"144","monitoring sozial stadtentwickl",2,1
"145","sehenswurd",3,2
"146","tragfah baugrund in berlin",2,1
"147","ehrengrabstatt",2,1
"148","rad",2,2
"149","kremm strass",2,1
"150","okokonto",3,2
"151","info",2,1
"152","haushalt",2,2
"153","wochenmarkt",2,1
"154","qualitat",2,1
"155","flurplan",2,1
"156","wohnung",2,1
"157","weg",2,1
"158","baunutzungsverordn 1956",2,1
"159","corona restaurant or corona",2,1
"160","beuck gymnasium",2,1
"161","luftbild beriln",2,1
"162","wohnungsbestand",2,2
"163","tempelhof",3,2
"164","bordstein",2,1
"165","trinkwass",2,2
"166","sar cov",2,1
"167","park",3,3
"168","grundkart berlin",2,1
"169","wfs",2,2
"170","klr",2,1
"171","stadtteil",2,1
"172","veranstalt",2,2
"173","einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2008",2,1
"174","bebauungsplan",2,2
"175","2021",2,1
"176","infektionsschutzgesetz",2,1
"177","teilhab",2,1
"178","wirtschaft",2,1
"179","afs",2,2
"180","bezirksgrenz",2,2
"181","histor luftbild",2,1
"182","geburtshilf",2,1
"183","orthophoto",2,2
"184","mapa",2,1
"185","wochenmarkt markt",2,1
"186","kart",2,1
"187","bus",2,1
"188","preisindiz lebenshalt",2,1
"189","alleinerzieh 2018",2,1
"190","bibliothek",3,2
"191","wett",2,2
"192","zentral",2,1
"193","grundung",3,2
"194","open data handbuch",2,1
"195","corina",2,2
"196","freistell corona",2,1
"197","lor kml",3,2
"198","bezirksregion",2,1
"199","notversorg",2,1
"200","coronahilf",2,1
"201","doppelhaushalt",2,1
"202","kirch",2,1
"203","parcel",2,1
"204","gemark",2,2
"205","bevolkerungswachstum prognos",2,1
"206","denkmal",2,1
"207","senatsbeschluss flachennutzungsplan",2,1
"208","arbeitslos",6,5
"209","alkis auskunft",2,1
"210","plz stadtbezirk",2,1
