"Unnamed: 0","term_stem","impressions","visits","month"
"1","lor","58","8","2019-06"
"2","wfs","59","6","2019-06"
"3","wms","34","3","2019-06"
"4","grunanlagenbestand","28","18","2019-06"
"5","wass","17","6","2019-06"
"6","migrationshintergrund","15","4","2019-06"
"7","strass","26","8","2019-06"
"8","lor einwohn","13","1","2019-06"
"9","bezirk","16","10","2019-06"
"10","geometri","15","5","2019-06"
"11","gewass","12","5","2019-06"
"12","dop20rgb","13","2","2019-06"
"13","grunanlag","15","13","2019-06"
"14","flurkart","15","12","2019-06"
"15","arbeitslos","14","8","2019-06"
"16","dgm","10","4","2019-06"
"17","mietendeckel","14","11","2019-06"
"18","vornam","16","12","2019-06"
"19","strassenbefahr","8","1","2019-06"
"20","ortsteil","17","5","2019-06"
"21","ozon","13","7","2019-06"
"22","shp","7","3","2019-06"
"23","block","7","1","2019-06"
"24","vbb","10","6","2019-06"
"25","miet","15","10","2019-06"
"26","bevolker","6","2","2019-06"
"27","gtfs","7","7","2019-06"
"28","postleitzahl","7","2","2019-06"
"29","moabit west","5","1","2019-06"
"30","kita","5","4","2019-06"
"31","kart","6","4","2019-06"
"32","statist block","5","1","2019-06"
"33","fahrrad","8","6","2019-06"
"34","digital orthophotos","5","1","2019-06"
"35","haltestell","6","6","2019-06"
"36","opnv","5","3","2019-06"
"37","bvg","6","3","2019-06"
"38","alkis","7","4","2019-06"
"39","trinkbrunn","5","3","2019-06"
"40","einwohn","8","5","2019-06"
"41","tourismus nachhalt","5","1","2019-06"
"42","flurstuck","8","4","2019-06"
"43","rbs","7","7","2019-06"
"44","bus","4","4","2019-06"
"45","shapefil","4","3","2019-06"
"46","lor shp","7","4","2019-06"
"47","radverkehr","4","2","2019-06"
"48","orthophotos","4","2","2019-06"
"49","digital farbig orthophoto 2018 dop20rgb","9","7","2019-06"
"50","warm","4","1","2019-06"
"51","verkehr","6","4","2019-06"
"52","zugzielanzeig s bahn berlin","4","1","2019-06"
"53","grundsicher","4","2","2019-06"
"54","einwohnerdicht","4","2","2019-06"
"55","bsr","5","3","2019-06"
"56","gebaud","5","4","2019-06"
"57","kml","4","1","2019-06"
"58","budget","4","1","2019-06"
"59","einkomm","4","2","2019-06"
"60","rad","6","4","2019-06"
"61","lsa","4","1","2019-06"
"62","lk5","4","1","2019-06"
"63","nam","5","3","2019-06"
"64","wohnung","6","2","2019-06"
"65","moabit bredow","4","1","2019-06"
"66","haushaltseinkomm","4","1","2019-06"
"67","bezirksgrenz","4","3","2019-06"
"68","stadtentwickl statist","3","1","2019-06"
"69","denkmal","6","5","2019-06"
"70","arbeit","3","2","2019-06"
"71","grunflach","5","4","2019-06"
"72","haushalt","4","3","2019-06"
"73","senatsbeschluss","9","9","2019-06"
"74","einwohn 2017","3","2","2019-06"
"75","volkswirtschaft gesamtrechn pharmazeut industri","3","1","2019-06"
"76","behinder","3","1","2019-06"
"77","rbs adress","8","5","2019-06"
"78","badestell","3","2","2019-06"
"79","mulltrenn","3","2","2019-06"
"80","block und blockteilflach basis","3","1","2019-06"
"81","biomull","3","2","2019-06"
"82","alleinerzieh","3","1","2019-06"
"83","berlin wfs","3","2","2019-06"
"84","lichtenberg","3","1","2019-06"
"85","mietobergrenz","4","2","2019-06"
"86","berlin stadtschloss","3","1","2019-06"
"87","wahl","3","1","2019-06"
"88","liegenschaftskart","3","1","2019-06"
"89","stromatlas","3","1","2019-06"
"90","energieatlas","3","1","2019-06"
"91","schulamt friedrichshain","3","1","2019-06"
"92","atom","3","1","2019-06"
"93","digital orthophotos 2018 wms","3","1","2019-06"
"94","bib","3","1","2019-06"
"95","wfs erhol","3","1","2019-06"
"96","grunanlag","3","1","2019-06"
"97","alkis gebaud","3","2","2019-06"
"98","stellenausschreib","3","1","2019-06"
"99","kriminalitat","4","4","2019-06"
"100","geometri bezirk","4","2","2019-06"
"101","1940","3","1","2019-06"
"102","gis","2","2","2019-06"
"103","einbruchsstatist","2","2","2019-06"
"104","emd strass","2","2","2019-06"
"105","park","3","3","2019-06"
"106","mietspiegel","4","3","2019-06"
"107","parking","2","2","2019-06"
"108","verkehr berlin","2","1","2019-06"
"109","bimschg","2","1","2019-06"
"110","luftbild","4","3","2019-06"
"111","stadtplan","3","2","2019-06"
"112","sprach","2","1","2019-06"
"113","wasserversorg","2","1","2019-06"
"114","kindertagesstatt","2","1","2019-06"
"115","rahmenvertrag","2","1","2019-06"
"116","paris abkomm","3","2","2019-06"
"117","bebauungsplan","3","2","2019-06"
"118","digital farbig orthophoto 2018","2","2","2019-06"
"119","strat larmkart l n","2","1","2019-06"
"120","denkmalkart","2","1","2019-06"
"121","verbind anwend der elektron vergab","2","2","2019-06"
"122","abwass","3","3","2019-06"
"123","geo","2","1","2019-06"
"124","adress","4","3","2019-06"
"125","strom","2","2","2019-06"
"126","flurkart sfx","2","1","2019-06"
"127","kanal","2","1","2019-06"
"128","jugend","3","2","2019-06"
"129","warmebelast","2","1","2019-06"
"130","protokoll","2","1","2019-06"
"131","friedrichshain","2","2","2019-06"
"132","alt","3","2","2019-06"
"133","ortsteil von berlin","2","2","2019-06"
"134","koordinat","2","1","2019-06"
"135","landesdenkmalamt","2","1","2019-06"
"136","radweg","3","2","2019-06"
"137","wohnlag","2","1","2019-06"
"138","kind und jugend","2","1","2019-06"
"139","flachennutzungsplan","2","1","2019-06"
"140","grz","2","2","2019-06"
"141","messnetz","2","1","2019-06"
"142","niederschlag","4","2","2019-06"
"143","bruttoinlandsprodukt","2","1","2019-06"
"144","jugendzentrum","2","1","2019-06"
"145","berlin schloss","2","1","2019-06"
"146","kiez","2","1","2019-06"
"147","5000","2","1","2019-06"
"148","digital orthophotos wms","2","1","2019-06"
"149","04","2","1","2019-06"
"150","berlin statttaub schutz berlin or statdtaub kein schadling","2","1","2019-06"
"151","stromkost","2","1","2019-06"
"152","invalidenstrass","3","2","2019-06"
"153","bad","2","1","2019-06"
"154","kreuzberg","2","1","2019-06"
"155","sachgrundlos befrist","2","1","2019-06"
"156","kfz","2","1","2019-06"
"157","grun","2","1","2019-06"
"158","birkenstrass ecl bredowstrass","2","1","2019-06"
"159","strassenverzeichnis","4","3","2019-06"
"160","dop","3","2","2019-06"
"161","04 senatsbeschluss","2","1","2019-06"
"162","asylblg","2","1","2019-06"
