388;lastprofil;5;4;Ver- und Entsorgung
119;verkauv erbbaubelastet grundstuck an den erbbauberechtigt;9;3;Wohnen und Immobilien
25;grundkart;5;1;Geographie und Stadtplanung
26;wasserbetrieb;12;3;Ver- und Entsorgung
28;katast;25;14;Geographie und Stadtplanung
40;moabit;5;4;Geographie und Stadtplanung
47;wochenmarkt berlin;5;2;Sport und Erholung
49;fahrrad;117;94;Verkehr
56;lehr;5;3;Bildung
84;miet;56;43;Wohnen und Immobilien
23;nam;44;29;Demographie
16;statist block;17;5;Demographie
18;rbs block;25;13;Geographie und Stadtplanung
19;lebenswelt;7;2;Geographie und Stadtplanung
34;kultur;7;2;Kunst und Kultur
17;einkomm;60;34;Demographie
22;alkis;196;102;Geographie und Stadtplanung
27;lor;293;120;Geographie und Stadtplanung
12;verkehr;133;48;Verkehr
36;bezirk;177;104;Geographie und Stadtplanung
86;schul;80;63;Bildung
9;alleinerzieh;10;4;Demographie
14;gtfs;111;102;Sonstiges
6;gebaud;94;46;Wohnen und Immobilien
13;strass;202;79;Geographie und Stadtplanung
15;vbb;122;86;Verkehr
24;flurkart;189;128;Geographie und Stadtplanung
7;geodat;105;14;Sonstiges
11;rbs;175;93;Geographie und Stadtplanung
21;adress;110;42;Geographie und Stadtplanung
4;csv;21;4;Sonstiges
10;block;52;15;Geographie und Stadtplanung
2;fairtrad;17;9;Verbraucherschutz
3;energieverbrauch;37;24;Ver- und Entsorgung
5;geometri;70;23;Sonstiges
8;vornam;264;186;Demographie
1;shp;63;17;Sonstiges
141;subway;6;3;Verkehr
156;einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2017;15;6;Demographie
166;fisbrok;7;6;Geographie und Stadtplanung
34;lor ausland;5;1;Geographie und Stadtplanung
42;stadtteil;5;5;Geographie und Stadtplanung
53;berlinpass;5;3;Sport und Erholung
54;denkmal;17;12;Kunst und Kultur
56;kita;20;18;Jugend
58;park;29;25;Geographie und Stadtplanung
60;baum;58;44;Geographie und Stadtplanung
90;bebauungssplan;10;5;Geographie und Stadtplanung
91;plz;11;4;Geographie und Stadtplanung
28;zaa;6;1;Sonstiges
29;ortsteil;101;48;Geographie und Stadtplanung
30;gemeinschaft mit korperschaftsstatus;6;1;Sonstiges
35;webatlas;6;4;Sonstiges
36;wms;68;21;Sonstiges
24;wfs;225;25;Sonstiges
37;haushalt;22;13;Öffentliche Verwaltung, Haushalt und Steuern
44;u bahn;12;8;Verkehr
46;migrationshintergrund;22;10;Demographie
18;2017;15;5;Sonstiges
19;flachennutzungsplan;8;3;Geographie und Stadtplanung
20;einwohnerinn und einwohn in den ortsteil berlin;8;1;Demographie
21;lor planungsraum;17;7;Geographie und Stadtplanung
11;einwohnerinn und einwohn in berlin in lor planungsraum am 31 12 2011;9;1;Demographie
15;wahl;34;16;Wahlen
33;luftbild;72;25;Geographie und Stadtplanung
47;bodenrichtwert;48;21;Wohnen und Immobilien
10;wohndau;10;3;Wohnen und Immobilien
16;bvg;59;36;Verkehr
4;bevolker;43;20;Demographie
9;energi;42;13;Ver- und Entsorgung
3;einwohn;146;63;Demographie
118;immobili;5;4;Wohnen und Immobilien
230;accommodation;5;2;Tourismus
445;charité;6;5;Gesundheit
72;list der haufig vornam 2018;17;13;Demographie
73;umweltatlas;26;9;Umwelt und Klima
104;mobilitat;13;10;Verkehr
39;flach;5;2;Sonstiges
40;feinstaub;11;5;Umwelt und Klima
41;alkis gebaud;5;2;Geographie und Stadtplanung
43;flughaf;5;2;Verkehr
45;inspir;5;2;Sonstiges
49;s bahn;5;3;Verkehr
63;grundschul reinickendorf;5;2;Bildung
66;grunflach;21;13;Geographie und Stadtplanung
81;haufig vornam 2018;5;2;Demographie
92;bsr;10;6;Ver- und Entsorgung
26;topograf;6;1;Geographie und Stadtplanung
30;hotel;6;4;Tourismus
37;polizei;25;14;Öffentliche Verwaltung, Haushalt und Steuern
57;dgm;61;34;Geographie und Stadtplanung
100;einschulbereich;6;4;Bildung
24;lor kart;7;2;Geographie und Stadtplanung
32;unterkunft;7;2;Tourismus
35;strassenverzeichnis;24;15;Geographie und Stadtplanung
53;grenz;7;3;Geographie und Stadtplanung
95;flurstuck;65;45;Geographie und Stadtplanung
22;einwohnerinn und einwohn mit migrationshintergrund in berlin in lor planungsraum;8;1;Demographie
25;verwaltungsvorschrift;8;7;Öffentliche Verwaltung, Haushalt und Steuern
42;radfahr;18;11;Verkehr
12;lichtenberg;9;3;Geographie und Stadtplanung
16;einwohn berlin in lor planungsraum;9;1;Demographie
21;poll;9;5;Sonstiges
9;shap;16;6;Geographie und Stadtplanung
20;sport;10;2;Sport und Erholung
23;wohnlag;15;7;Wohnen und Immobilien
31;hauskoordinat;10;4;Geographie und Stadtplanung
5;bod;28;9;Sonstiges
7;api;11;4;Sonstiges
19;europawahl;32;23;Wahlen
28;flachennutz;17;4;Geographie und Stadtplanung
14;arbeitslos;41;17;Arbeitsmarkt
44;senatsbeschluss;50;43;Protokolle und Beschlüsse
10;planungsraum;44;18;Geographie und Stadtplanung
238;wahllokal 2019;7;3;Wahlen
77;europawahl 2019;9;6;Wahlen
38;parking;5;3;Verkehr
40;marathon;5;1;Sport und Erholung
41;sgb ii;5;1;Sonstiges
45;solar;5;1;Ver- und Entsorgung
55;larmkart;5;2;Umwelt und Klima
61;baufertigstell;5;2;Wohnen und Immobilien
66;unfall;5;4;Verkehr
79;erstnam;5;5;Demographie
94;bik;5;4;Sonstiges
130;vornam 2018;5;3;Demographie
30;einwohnerinn und einwohn;6;2;Demographie
42;geologi;6;2;Umwelt und Klima
46;radrout;24;14;Verkehr
49;mietspiegel;6;5;Wohnen und Immobilien
60;lod2;16;12;Sonstiges
24;seniorensport;7;7;Sport und Erholung
33;shapefil;56;41;Geographie und Stadtplanung
50;fluchtling;7;3;Demographie
32;strassenbefahr;23;6;Geographie und Stadtplanung
34;wahlbezirk;8;6;Wahlen
37;postleitzahl;47;25;Geographie und Stadtplanung
28;wahllokal;9;4;Wahlen
11;planungsraum lor;10;1;Geographie und Stadtplanung
13;senior;10;1;Demographie
9;atkis;27;7;Geographie und Stadtplanung
12;liegenschaftskatast;11;4;Geographie und Stadtplanung
23;pump;11;9;Geographie und Stadtplanung
6;wass;83;27;Umwelt und Klima
2;adress inspir;28;2;Geographie und Stadtplanung
213;mietendeckel;26;17;Wohnen und Immobilien
96;grunanlag;18;14;Geographie und Stadtplanung
29;moabit west;5;1;Geographie und Stadtplanung
34;digital orthophotos;10;2;Geographie und Stadtplanung
36;opnv;5;3;Verkehr
39;trinkbrunn;23;19;Geographie und Stadtplanung
41;tourismus nachhalt;5;1;Tourismus
31;kart;48;13;Geographie und Stadtplanung
35;haltestell;18;16;Verkehr
60;rad;6;4;Verkehr
64;wohnung;12;5;Wohnen und Immobilien
46;lor shp;7;4;Geographie und Stadtplanung
77;rbs adress;8;5;Geographie und Stadtplanung
49;digital farbig orthophoto 2018 dop20rgb;9;7;Geographie und Stadtplanung
11;gewass;37;11;Umwelt und Klima
8;lor einwohn;13;1;Geographie und Stadtplanung
